gene_id	gene_name	gene_source	gene_biotype
ENSRNOG00000012393	S100a13	ensembl	protein_coding
ENSRNOG00000012053	S100a16	ensembl	protein_coding
ENSRNOG00000058079	U6	ensembl	snRNA
ENSRNOG00000012008	S100a3	ensembl	protein_coding
ENSRNOG00000060964	U1	ensembl	snRNA
ENSRNOG00000011821	S100a4	ensembl	protein_coding
ENSRNOG00000011748	S100a5	ensembl	protein_coding
ENSRNOG00000011647	S100a6	ensembl	protein_coding
ENSRNOG00000033352	S100a7a	ensembl	protein_coding
ENSRNOG00000011557	S100a8	ensembl	protein_coding
ENSRNOG00000011483	S100a9	ensembl	protein_coding
ENSRNOG00000011472	AABR07072758.1	ensembl	processed_pseudogene
ENSRNOG00000021798	Pglyrp4	ensembl	protein_coding
ENSRNOG00000055359	AABR07012174.1	ensembl	snoRNA
ENSRNOG00000053596	AABR07012195.1	ensembl	lincRNA
ENSRNOG00000028310	S100vp	ensembl	protein_coding
ENSRNOG00000043325	S100a7l2	ensembl	protein_coding
ENSRNOG00000048515	AABR07012269.1	ensembl	protein_coding
ENSRNOG00000045617	Pglyrp3b	ensembl	protein_coding
ENSRNOG00000059604	Lor	ensembl	protein_coding
ENSRNOG00000012312	Prr9	ensembl	protein_coding
ENSRNOG00000061912	AABR07012276.1	ensembl	lincRNA
ENSRNOG00000037341	LOC108350059	ensembl	protein_coding
ENSRNOG00000046881	Pglyrp3	ensembl	protein_coding
ENSRNOG00000059417	AABR07012291.2	ensembl	protein_coding
ENSRNOG00000029760	AABR07012291.1	ensembl	protein_coding
ENSRNOG00000052006	AABR07012295.1	ensembl	pseudogene
ENSRNOG00000029177	AABR07012299.1	ensembl	protein_coding
ENSRNOG00000055916	LOC102552651	ensembl	protein_coding
ENSRNOG00000009168	Sprr2d	ensembl	protein_coding
ENSRNOG00000009115	LOC102550598	ensembl	protein_coding
ENSRNOG00000042517	AABR07012302.1	ensembl	protein_coding
ENSRNOG00000031144	Sprr1b	ensembl	protein_coding
ENSRNOG00000024046	Sprr3	ensembl	protein_coding
ENSRNOG00000024028	Sprr1a	ensembl	protein_coding
ENSRNOG00000042266	NEWGENE_2324572	ensembl	protein_coding
ENSRNOG00000009314	Ivl	ensembl	protein_coding
ENSRNOG00000009326	Smcp	ensembl	protein_coding
ENSRNOG00000055370	Lce6a	ensembl	protein_coding
ENSRNOG00000033499	AABR07012310.1	ensembl	pseudogene
ENSRNOG00000058195	AABR07012312.1	ensembl	pseudogene
ENSRNOG00000009445	AABR07012313.1	ensembl	pseudogene
ENSRNOG00000009383	LOC102552326	ensembl	protein_coding
ENSRNOG00000043111	AABR07012314.1	ensembl	protein_coding
ENSRNOG00000023892	Lce1f	ensembl	protein_coding
ENSRNOG00000050724	LOC102552128	ensembl	protein_coding
ENSRNOG00000046788	AABR07012317.1	ensembl	protein_coding
ENSRNOG00000049173	AABR07012317.2	ensembl	protein_coding
ENSRNOG00000042970	AABR07012318.1	ensembl	protein_coding
ENSRNOG00000028865	Kprp	ensembl	protein_coding
ENSRNOG00000042105	Lce1l	ensembl	protein_coding
ENSRNOG00000023511	LOC686143	ensembl	protein_coding
ENSRNOG00000052781	U6	ensembl	snRNA
ENSRNOG00000054427	Lce3e	ensembl	protein_coding
ENSRNOG00000051599	U6	ensembl	snRNA
ENSRNOG00000046752	AABR07012323.1	ensembl	protein_coding
ENSRNOG00000009574	Crct1	ensembl	protein_coding
ENSRNOG00000009581	Lce1m	ensembl	protein_coding
ENSRNOG00000008721	Crnn	ensembl	protein_coding
ENSRNOG00000050967	Flg2	ensembl	protein_coding
ENSRNOG00000009602	AABR07012329.1	ensembl	protein_coding
ENSRNOG00000060148	U6	ensembl	snRNA
ENSRNOG00000053250	Hrnr	ensembl	protein_coding
ENSRNOG00000018679	Rptn	ensembl	protein_coding
ENSRNOG00000055468	AABR07072759.3	ensembl	lincRNA
ENSRNOG00000056746	Tchh	ensembl	protein_coding
ENSRNOG00000009610	AABR07072759.1	ensembl	protein_coding
ENSRNOG00000052461	AABR07072759.2	ensembl	pseudogene
ENSRNOG00000010105	S100a11	ensembl	protein_coding
ENSRNOG00000023226	S100a10	ensembl	protein_coding
ENSRNOG00000059512	RGD1564513	ensembl	pseudogene
ENSRNOG00000050472	LOC100911679	ensembl	protein_coding
ENSRNOG00000054673	LOC102548071	ensembl	protein_coding
ENSRNOG00000054473	RGD1564313	ensembl	protein_coding
ENSRNOG00000056468	RGD1560510	ensembl	protein_coding
ENSRNOG00000047767	AABR07012384.1	ensembl	protein_coding
ENSRNOG00000054790	RGD1566337	ensembl	protein_coding
ENSRNOG00000050263	AABR07012426.1	ensembl	protein_coding
ENSRNOG00000061251	RGD1559714	ensembl	protein_coding
ENSRNOG00000047158	Selenbp1	ensembl	protein_coding
ENSRNOG00000060494	RGD1560554	ensembl	protein_coding
ENSRNOG00000020829	Them4	ensembl	protein_coding
ENSRNOG00000043445	Them5	ensembl	protein_coding
ENSRNOG00000020832	C2cd4d	ensembl	protein_coding
ENSRNOG00000020836	Rorc	ensembl	protein_coding
ENSRNOG00000022863	Lingo4	ensembl	protein_coding
ENSRNOG00000020860	Tdrkh	ensembl	protein_coding
ENSRNOG00000020863	Oaz3	ensembl	protein_coding
ENSRNOG00000020869	mrpl9	ensembl	protein_coding
ENSRNOG00000037310	Riiad1	ensembl	protein_coding
ENSRNOG00000020875	Celf3	ensembl	protein_coding
ENSRNOG00000020893	Snx27	ensembl	protein_coding
ENSRNOG00000030494	AABR07072761.1	ensembl	processed_pseudogene
ENSRNOG00000020923	Tuft1	ensembl	protein_coding
ENSRNOG00000020952	Cgn	ensembl	protein_coding
ENSRNOG00000029339	LOC100363268	ensembl	protein_coding
ENSRNOG00000053599	Pogz	ensembl	protein_coding
ENSRNOG00000020979	Psmb4	ensembl	protein_coding
ENSRNOG00000051930	AC130969.1	ensembl	snoRNA
ENSRNOG00000053812	LOC103689947	ensembl	protein_coding
ENSRNOG00000021012	Rfx5	ensembl	protein_coding
ENSRNOG00000021024	Pi4kb	ensembl	protein_coding
ENSRNOG00000021026	Zfp687	ensembl	protein_coding
ENSRNOG00000021042	Psmd4	ensembl	protein_coding
ENSRNOG00000021068	Pip5k1a	ensembl	protein_coding
ENSRNOG00000021081	Vps72	ensembl	protein_coding
ENSRNOG00000021088	Tmod4	ensembl	protein_coding
ENSRNOG00000021092	Scnm1	ensembl	protein_coding
ENSRNOG00000021099	Lysmd1	ensembl	protein_coding
ENSRNOG00000021100	Tnfaip8l2	ensembl	protein_coding
ENSRNOG00000021101	Sema6c	ensembl	protein_coding
ENSRNOG00000021105	Gabpb2	ensembl	protein_coding
ENSRNOG00000021110	Mllt11	ensembl	protein_coding
ENSRNOG00000060538	Cdc42se1	ensembl	protein_coding
ENSRNOG00000021656	RGD1359334	ensembl	protein_coding
ENSRNOG00000021116	Bnipl	ensembl	protein_coding
ENSRNOG00000021120	Prune1	ensembl	protein_coding
ENSRNOG00000021131	Mindy1	ensembl	protein_coding
ENSRNOG00000021134	Anxa9	ensembl	protein_coding
ENSRNOG00000021138	Cers2	ensembl	protein_coding
ENSRNOG00000021143	Setdb1	ensembl	protein_coding
ENSRNOG00000061878	U6	ensembl	snRNA
ENSRNOG00000057843	LOC102550012	ensembl	lincRNA
ENSRNOG00000051678	AABR07012475.1	ensembl	protein_coding
ENSRNOG00000052421	AABR07012475.2	ensembl	lincRNA
ENSRNOG00000031174	Arnt	ensembl	protein_coding
ENSRNOG00000021155	Ctsk	ensembl	protein_coding
ENSRNOG00000052818	AABR07012492.1	ensembl	protein_coding
ENSRNOG00000054851	5_8S_rRNA	ensembl	rRNA
ENSRNOG00000021157	Ctss	ensembl	protein_coding
ENSRNOG00000021160	Hormad1	ensembl	protein_coding
ENSRNOG00000047620	Golph3l	ensembl	protein_coding
ENSRNOG00000058028	U6	ensembl	snRNA
ENSRNOG00000048617	Ensa	ensembl	protein_coding
ENSRNOG00000049706	AABR07012575.1	ensembl	miRNA
ENSRNOG00000049385	Adamtsl4	ensembl	protein_coding
ENSRNOG00000021166	Ecm1	ensembl	protein_coding
ENSRNOG00000057194	Tars2	ensembl	protein_coding
ENSRNOG00000054294	Rprd2	ensembl	protein_coding
ENSRNOG00000025629	Prpf3	ensembl	protein_coding
ENSRNOG00000024845	Mrps21	ensembl	protein_coding
ENSRNOG00000042717	Ciart	ensembl	protein_coding
ENSRNOG00000059750	AC141102.1	ensembl	protein_coding
ENSRNOG00000023816	Aph1a	ensembl	protein_coding
ENSRNOG00000023162	Ca14	ensembl	protein_coding
ENSRNOG00000021168	Anp32e	ensembl	protein_coding
ENSRNOG00000021170	Plekho1	ensembl	protein_coding
ENSRNOG00000021173	Vps45	ensembl	protein_coding
ENSRNOG00000042068	Otud7b	ensembl	protein_coding
ENSRNOG00000021176	Mtmr11	ensembl	protein_coding
ENSRNOG00000021181	Sf3b4	ensembl	protein_coding
ENSRNOG00000058604	AABR07012581.1	ensembl	snoRNA
ENSRNOG00000021182	Sv2a	ensembl	protein_coding
ENSRNOG00000021185	Bola1	ensembl	protein_coding
ENSRNOG00000048317	H2ac21	ensembl	protein_coding
ENSRNOG00000030736	H2ac20	ensembl	protein_coding
ENSRNOG00000060042	AABR07012582.1	ensembl	miRNA
ENSRNOG00000045753	Hist2h2be	ensembl	protein_coding
ENSRNOG00000028975	Hist2h3c2	ensembl	protein_coding
ENSRNOG00000047898	Hist2h2aa3	ensembl	protein_coding
ENSRNOG00000060619	AABR07012582.2	ensembl	miRNA
ENSRNOG00000052555	Hist2h2aa2	ensembl	protein_coding
ENSRNOG00000054132	AABR07012583.1	ensembl	miRNA
ENSRNOG00000053081	LOC102548682	ensembl	protein_coding
ENSRNOG00000032224	RGD1562378	ensembl	protein_coding
ENSRNOG00000060366	LOC102548682	ensembl	protein_coding
ENSRNOG00000059093	AABR07012583.2	ensembl	protein_coding
ENSRNOG00000021199	Fcgr1a	ensembl	protein_coding
ENSRNOG00000054271	U6	ensembl	snRNA
ENSRNOG00000061732	U1	ensembl	snRNA
ENSRNOG00000059367	U1	ensembl	snRNA
ENSRNOG00000051920	U1	ensembl	snRNA
ENSRNOG00000002223	AABR07012587.1	ensembl	processed_pseudogene
ENSRNOG00000060836	U1	ensembl	snRNA
ENSRNOG00000059842	AABR07012588.1	ensembl	pseudogene
ENSRNOG00000051852	U1	ensembl	snRNA
ENSRNOG00000060441	U1	ensembl	snRNA
ENSRNOG00000021200	Hjv	ensembl	protein_coding
ENSRNOG00000037223	AABR07012592.1	ensembl	pseudogene
ENSRNOG00000021201	Txnip	ensembl	protein_coding
ENSRNOG00000021209	Polr3gl	ensembl	protein_coding
ENSRNOG00000033741	Ankrd34a	ensembl	protein_coding
ENSRNOG00000021213	Lix1l	ensembl	protein_coding
ENSRNOG00000021215	Rbm8a	ensembl	protein_coding
ENSRNOG00000021216	Pex11b	ensembl	protein_coding
ENSRNOG00000056349	U2	ensembl	snRNA
ENSRNOG00000021217	Itga10	ensembl	protein_coding
ENSRNOG00000025108	Ankrd35	ensembl	protein_coding
ENSRNOG00000021218	Pias3	ensembl	protein_coding
ENSRNOG00000037217	Nudt17	ensembl	protein_coding
ENSRNOG00000033560	Polr3c	ensembl	protein_coding
ENSRNOG00000058027	AABR07012594.1	ensembl	snoRNA
ENSRNOG00000000098	Rnf115	ensembl	protein_coding
ENSRNOG00000000097	Cd160	ensembl	protein_coding
ENSRNOG00000000096	Pdzk1	ensembl	protein_coding
ENSRNOG00000000095	Gpr89b	ensembl	protein_coding
ENSRNOG00000046703	Gja8	ensembl	protein_coding
ENSRNOG00000017484	Gja5	ensembl	protein_coding
ENSRNOG00000015544	LOC100909441	ensembl	protein_coding
ENSRNOG00000017494	Acp6	ensembl	protein_coding
ENSRNOG00000017516	Bcl9	ensembl	protein_coding
ENSRNOG00000058608	AABR07012613.1	ensembl	lincRNA
ENSRNOG00000030747	LOC685963	ensembl	protein_coding
ENSRNOG00000017664	Olr390	ensembl	protein_coding
ENSRNOG00000045806	AABR07012616.1	ensembl	protein_coding
ENSRNOG00000017669	Chd1l	ensembl	protein_coding
ENSRNOG00000018076	Fmo5	ensembl	protein_coding
ENSRNOG00000018166	Prkab2	ensembl	protein_coding
ENSRNOG00000018220	Pde4dip	ensembl	protein_coding
ENSRNOG00000018673	Sec22b	ensembl_havana	protein_coding
ENSRNOG00000062286	AC129357.2	havana	processed_pseudogene
ENSRNOG00000018835	Notch2	ensembl_havana	protein_coding
ENSRNOG00000019044	Adam30	ensembl_havana	protein_coding
ENSRNOG00000036422	AC129357.1	ensembl	miRNA
ENSRNOG00000019046	Reg4	ensembl	protein_coding
ENSRNOG00000019120	Hmgcs2	ensembl	protein_coding
ENSRNOG00000019328	Phgdh	ensembl	protein_coding
ENSRNOG00000048181	Zfp697	ensembl	protein_coding
ENSRNOG00000019417	Hsd3b5	ensembl	protein_coding
ENSRNOG00000042884	Hsd3b3	ensembl	protein_coding
ENSRNOG00000049090	LOC102550892	ensembl	protein_coding
ENSRNOG00000019470	Hao2	ensembl	protein_coding
ENSRNOG00000053190	AABR07012635.1	ensembl	protein_coding
ENSRNOG00000051856	AABR07012640.1	ensembl	lincRNA
ENSRNOG00000061362	Gm22341	ensembl	snoRNA
ENSRNOG00000058255	AABR07012640.2	ensembl	snoRNA
ENSRNOG00000019508	Wars2	ensembl	protein_coding
ENSRNOG00000019565	Tbx15	ensembl	protein_coding
ENSRNOG00000045536	AABR07012658.1	ensembl	protein_coding
ENSRNOG00000037196	Spag17	ensembl	protein_coding
ENSRNOG00000019441	Hsd3b2	ensembl	protein_coding
ENSRNOG00000019670	Wdr3	ensembl	protein_coding
ENSRNOG00000019754	Gdap2	ensembl	protein_coding
ENSRNOG00000055403	AABR07012702.1	ensembl	lincRNA
ENSRNOG00000015222	Tent5c	ensembl	protein_coding
ENSRNOG00000015226	Man1a2	ensembl	protein_coding
ENSRNOG00000061190	AABR07012705.1	ensembl	snoRNA
ENSRNOG00000054483	AABR07012711.1	ensembl	lincRNA
ENSRNOG00000057991	7SK	ensembl	misc_RNA
ENSRNOG00000015279	Vtcn1	ensembl	protein_coding
ENSRNOG00000015347	Trim45	ensembl	protein_coding
ENSRNOG00000057761	Ttf2	ensembl	protein_coding
ENSRNOG00000037190	Cd101	ensembl	protein_coding
ENSRNOG00000015655	Ptgfrn	ensembl	protein_coding
ENSRNOG00000015821	Cd2	ensembl	protein_coding
ENSRNOG00000023851	Igsf3	ensembl	protein_coding
ENSRNOG00000030019	Atp1a1	ensembl	protein_coding
ENSRNOG00000053048	AABR07012728.1	ensembl	lincRNA
ENSRNOG00000061513	AABR07012728.2	ensembl	lincRNA
ENSRNOG00000016044	Mab21l3	ensembl	protein_coding
ENSRNOG00000033051	Slc22a15	ensembl	protein_coding
ENSRNOG00000054375	Nhlh2	ensembl	protein_coding
ENSRNOG00000016243	Casq2	ensembl	protein_coding
ENSRNOG00000016477	Vangl1	ensembl	protein_coding
ENSRNOG00000016571	Ngf	ensembl	protein_coding
ENSRNOG00000023338	Tspan2	ensembl	protein_coding
ENSRNOG00000016793	Tshb	ensembl	protein_coding
ENSRNOG00000016835	Sycp1	ensembl	protein_coding
ENSRNOG00000055783	AABR07072770.1	ensembl	snoRNA
ENSRNOG00000023073	Nr1h5	ensembl	protein_coding
ENSRNOG00000059241	U1	ensembl	snRNA
ENSRNOG00000055947	7SK	ensembl	misc_RNA
ENSRNOG00000017502	Sike1	ensembl	protein_coding
ENSRNOG00000028529	AC134651.1	ensembl	pseudogene
ENSRNOG00000061058	Csde1	ensembl	protein_coding
ENSRNOG00000023079	Nras	ensembl	protein_coding
ENSRNOG00000018656	Ampd1	ensembl	protein_coding
ENSRNOG00000058230	7SK	ensembl	misc_RNA
ENSRNOG00000018716	Dennd2c	ensembl	protein_coding
ENSRNOG00000018783	Bcas2	ensembl	protein_coding
ENSRNOG00000052852	AABR07012752.1	ensembl	lincRNA
ENSRNOG00000037159	LOC102551064	ensembl	protein_coding
ENSRNOG00000018946	Trim33	ensembl	protein_coding
ENSRNOG00000058228	7SK	ensembl	misc_RNA
ENSRNOG00000061123	AABR07012754.1	ensembl	snoRNA
ENSRNOG00000019163	Syt6	ensembl	protein_coding
ENSRNOG00000060909	AABR07012757.1	ensembl	lincRNA
ENSRNOG00000019211	Olfml3	ensembl	protein_coding
ENSRNOG00000019333	Hipk1	ensembl	protein_coding
ENSRNOG00000019367	Dclre1b	ensembl	protein_coding
ENSRNOG00000019455	Ap4b1	ensembl	protein_coding
ENSRNOG00000037149	Bcl2l15	ensembl	protein_coding
ENSRNOG00000019614	Ptpn22	ensembl	protein_coding
ENSRNOG00000019671	Rsbn1	ensembl	protein_coding
ENSRNOG00000019785	Phtf1	ensembl	protein_coding
ENSRNOG00000019885	Magi3	ensembl	protein_coding
ENSRNOG00000058551	U6	ensembl	snRNA
ENSRNOG00000051873	AABR07012762.1	ensembl	snoRNA
ENSRNOG00000055862	AABR07012762.2	ensembl	lincRNA
ENSRNOG00000057707	AABR07012763.1	ensembl	protein_coding
ENSRNOG00000031358	Rplp0l1	ensembl	protein_coding
ENSRNOG00000019957	Lrig2	ensembl	protein_coding
ENSRNOG00000056743	U6	ensembl	snRNA
ENSRNOG00000019996	Slc16a1	ensembl	protein_coding
ENSRNOG00000057151	U6	ensembl	snRNA
ENSRNOG00000030253	Tafa3	ensembl	protein_coding
ENSRNOG00000012481	Ppm1j	ensembl	protein_coding
ENSRNOG00000012630	Rhoc	ensembl	protein_coding
ENSRNOG00000012946	Mov10	ensembl	protein_coding
ENSRNOG00000013538	Capza1	ensembl	protein_coding
ENSRNOG00000014002	St7l	ensembl	protein_coding
ENSRNOG00000014385	Wnt2b	ensembl	protein_coding
ENSRNOG00000014479	Cttnbp2nl	ensembl	protein_coding
ENSRNOG00000041322	AABR07072773.1	ensembl	miRNA
ENSRNOG00000052078	AABR07012774.1	ensembl	lincRNA
ENSRNOG00000055255	AABR07012774.2	ensembl	lincRNA
ENSRNOG00000014686	Kcnd3	ensembl	protein_coding
ENSRNOG00000015274	Ddx20	ensembl	protein_coding
ENSRNOG00000015691	Inka2	ensembl	protein_coding
ENSRNOG00000032463	Rap1a	ensembl	protein_coding
ENSRNOG00000053044	AABR07012775.1	ensembl	protein_coding
ENSRNOG00000048272	LOC100911347	ensembl_havana	processed_transcript
ENSRNOG00000043375	Tmigd3	ensembl_havana	protein_coding
ENSRNOG00000046624	AABR07012777.1	havana	processed_pseudogene
ENSRNOG00000050743	LOC100911796	ensembl_havana	protein_coding
ENSRNOG00000037118	AABR07012779.1	havana	transcribed_unprocessed_pseudogene
ENSRNOG00000016000	Atp5pb	ensembl_havana	protein_coding
ENSRNOG00000046022	Wdr77	ensembl_havana	protein_coding
ENSRNOG00000016394	LOC100911453	ensembl_havana	protein_coding
ENSRNOG00000049591	AABR07012785.1	havana	processed_pseudogene
ENSRNOG00000015788	Adora3	ensembl_havana	protein_coding
ENSRNOG00000051203	AABR07012785.2	havana	transcribed_unprocessed_pseudogene
ENSRNOG00000046299	LOC100911417	ensembl_havana	protein_coding
ENSRNOG00000051107	AABR07012786.1	havana	unprocessed_pseudogene
ENSRNOG00000016842	Pifo	ensembl_havana	protein_coding
ENSRNOG00000051068	AABR07012788.1	havana	unprocessed_pseudogene
ENSRNOG00000017695	AABR07012795.1	ensembl	protein_coding
ENSRNOG00000033162	Chia	ensembl	protein_coding
ENSRNOG00000037115	Chi3l3	ensembl	protein_coding
ENSRNOG00000017574	RGD1309110	ensembl	protein_coding
ENSRNOG00000017680	Dennd2d	ensembl	protein_coding
ENSRNOG00000017723	Cept1	ensembl	protein_coding
ENSRNOG00000017744	Dram2	ensembl	protein_coding
ENSRNOG00000052798	AABR07072775.1	ensembl	lincRNA
ENSRNOG00000017784	Lrif1	ensembl	protein_coding
ENSRNOG00000017874	Cd53	ensembl	protein_coding
ENSRNOG00000018112	Olr392	ensembl	protein_coding
ENSRNOG00000055404	AABR07012826.1	ensembl	protein_coding
ENSRNOG00000062002	Kcna3	havana	protein_coding
ENSRNOG00000056335	AC113635.2	ensembl	pseudogene
ENSRNOG00000018285	Kcna2	ensembl_havana	protein_coding
ENSRNOG00000050416	Kcna10	ensembl	protein_coding
ENSRNOG00000018236	Cym	ensembl	protein_coding
ENSRNOG00000018201	Prok1	ensembl	protein_coding
ENSRNOG00000051467	AC113635.1	ensembl	miRNA
ENSRNOG00000018186	Lamtor5	ensembl	protein_coding
ENSRNOG00000018131	Slc16a4	ensembl	protein_coding
ENSRNOG00000047499	Rbm15	ensembl	protein_coding
ENSRNOG00000050514	LOC684509	ensembl	protein_coding
ENSRNOG00000056165	7SK	ensembl	misc_RNA
ENSRNOG00000060988	Kcnc4	ensembl	protein_coding
ENSRNOG00000050090	Slc6a17	ensembl_havana	protein_coding
ENSRNOG00000056341	AABR07012843.1	ensembl	pseudogene
ENSRNOG00000018290	Alx3	ensembl_havana	protein_coding
ENSRNOG00000018293	Strip1	ensembl	protein_coding
ENSRNOG00000018569	Ahcyl1	ensembl	protein_coding
ENSRNOG00000018659	Csf1	ensembl	protein_coding
ENSRNOG00000048209	Eps8l3	ensembl	protein_coding
ENSRNOG00000049743	Gstm5	ensembl	protein_coding
ENSRNOG00000060939	Gstm6l	ensembl	protein_coding
ENSRNOG00000018937	Gstm7	ensembl	protein_coding
ENSRNOG00000019017	Gstm6	ensembl	protein_coding
ENSRNOG00000047108	AC097845.1	ensembl	protein_coding
ENSRNOG00000019058	Gstm3l	ensembl	protein_coding
ENSRNOG00000029726	Gstm1	ensembl	protein_coding
ENSRNOG00000058113	SNORA71	ensembl	snoRNA
ENSRNOG00000019221	Gstm4	ensembl	protein_coding
ENSRNOG00000054318	AC097845.2	ensembl	snoRNA
ENSRNOG00000019240	Ampd2	ensembl	protein_coding
ENSRNOG00000019296	Gnat2	ensembl	protein_coding
ENSRNOG00000019465	Gnai3	ensembl	protein_coding
ENSRNOG00000054477	U6	ensembl	snRNA
ENSRNOG00000019738	Gpr61	ensembl	protein_coding
ENSRNOG00000045665	Amigo1	ensembl	protein_coding
ENSRNOG00000052232	Cyb561d1	ensembl	protein_coding
ENSRNOG00000028749	Atxn7l2	ensembl	protein_coding
ENSRNOG00000019780	Sypl2	ensembl	protein_coding
ENSRNOG00000019868	Psma5	ensembl	protein_coding
ENSRNOG00000031814	Sort1	ensembl	protein_coding
ENSRNOG00000037082	Mybphl	ensembl	protein_coding
ENSRNOG00000020013	Psrc1	ensembl	protein_coding
ENSRNOG00000020058	Celsr2	ensembl	protein_coding
ENSRNOG00000020255	Sars1	ensembl	protein_coding
ENSRNOG00000058966	SNORA70	ensembl	snoRNA
ENSRNOG00000020272	5330417C22Rik	ensembl	protein_coding
ENSRNOG00000054887	AC113756.3	ensembl	snRNA
ENSRNOG00000020307	RGD1309139	ensembl	protein_coding
ENSRNOG00000034161	Cox6b1	ensembl	protein_coding
ENSRNOG00000051850	Scarna2	ensembl	scaRNA
ENSRNOG00000042160	Tmem167b	ensembl	protein_coding
ENSRNOG00000020315	Taf13	ensembl	protein_coding
ENSRNOG00000020330	Wdr47	ensembl	protein_coding
ENSRNOG00000020360	Clcc1	ensembl	protein_coding
ENSRNOG00000012149	Gpsm2	ensembl	protein_coding
ENSRNOG00000028025	Aknad1	ensembl	protein_coding
ENSRNOG00000020392	Stxbp3	ensembl	protein_coding
ENSRNOG00000057001	AC129843.1	ensembl	lincRNA
ENSRNOG00000020421	Fndc7	ensembl	protein_coding
ENSRNOG00000050085	Mir6314	ensembl	miRNA
ENSRNOG00000020438	Prpf38b	ensembl	protein_coding
ENSRNOG00000042814	AABR07012856.1	ensembl	protein_coding
ENSRNOG00000027540	Fam102b	ensembl	protein_coding
ENSRNOG00000027522	Slc25a54	ensembl	protein_coding
ENSRNOG00000020470	Slc25a24	ensembl	protein_coding
ENSRNOG00000020485	Vav3	ensembl	protein_coding
ENSRNOG00000030847	AABR07012868.1	ensembl	protein_coding
ENSRNOG00000031136	Ntng1	ensembl	protein_coding
ENSRNOG00000017187	Prmt6	ensembl	protein_coding
ENSRNOG00000055584	7SK	ensembl	misc_RNA
ENSRNOG00000060776	U6	ensembl	snRNA
ENSRNOG00000057864	7SK	ensembl	misc_RNA
ENSRNOG00000048996	LOC108348173	ensembl	protein_coding
ENSRNOG00000053027	7SK	ensembl	misc_RNA
ENSRNOG00000052614	AABR07012884.1	ensembl	lincRNA
ENSRNOG00000051368	U6	ensembl	snRNA
ENSRNOG00000053571	U6	ensembl	snRNA
ENSRNOG00000052881	AABR07012926.1	ensembl	snoRNA
ENSRNOG00000057573	AABR07012943.1	ensembl	lincRNA
ENSRNOG00000055613	LOC103689940	ensembl	protein_coding
ENSRNOG00000033529	Amy1a	ensembl	protein_coding
ENSRNOG00000017310	Rnpc3	ensembl	protein_coding
ENSRNOG00000023148	Col11a1	ensembl	protein_coding
ENSRNOG00000059407	AABR07012991.1	ensembl	snoRNA
ENSRNOG00000061534	AABR07012994.1	ensembl	snoRNA
ENSRNOG00000017969	Olfm3	ensembl	protein_coding
ENSRNOG00000058770	AABR07013007.1	ensembl	snoRNA
ENSRNOG00000013683	S1pr1	ensembl	protein_coding
ENSRNOG00000013719	Dph5	ensembl	protein_coding
ENSRNOG00000013912	Slc30a7	ensembl	protein_coding
ENSRNOG00000048240	AABR07013019.1	ensembl	miRNA
ENSRNOG00000014323	Extl2	ensembl	protein_coding
ENSRNOG00000052101	AABR07013023.1	ensembl	lincRNA
ENSRNOG00000014333	Vcam1	ensembl	protein_coding
ENSRNOG00000026953	Gpr88	ensembl	protein_coding
ENSRNOG00000014515	Cdc14a	ensembl	protein_coding
ENSRNOG00000056917	U1	ensembl	snRNA
ENSRNOG00000014575	Rtca	ensembl	protein_coding
ENSRNOG00000015029	Dbt	ensembl	protein_coding
ENSRNOG00000015117	Lrrc39	ensembl	protein_coding
ENSRNOG00000015140	Trmt13	ensembl	protein_coding
ENSRNOG00000015211	Sass6	ensembl	protein_coding
ENSRNOG00000015502	Mfsd14a	ensembl	protein_coding
ENSRNOG00000061832	Slc35a3	ensembl	protein_coding
ENSRNOG00000016214	Agl	ensembl	protein_coding
ENSRNOG00000016878	Plppr5	ensembl	protein_coding
ENSRNOG00000016872	Plppr4	ensembl	protein_coding
ENSRNOG00000016351	Frrs1	ensembl	protein_coding
ENSRNOG00000058609	Palmd	ensembl	protein_coding
ENSRNOG00000060159	AABR07013057.1	ensembl	protein_coding
ENSRNOG00000055846	AABR07013065.1	ensembl	protein_coding
ENSRNOG00000017077	Snx7	ensembl	protein_coding
ENSRNOG00000054507	AABR07013070.1	ensembl	lincRNA
ENSRNOG00000060752	AABR07013073.3	ensembl	lincRNA
ENSRNOG00000056395	AABR07013073.2	ensembl	lincRNA
ENSRNOG00000035491	Mir137	ensembl	miRNA
ENSRNOG00000048332	AABR07013073.1	ensembl	miRNA
ENSRNOG00000061165	AABR07013073.4	ensembl	pseudogene
ENSRNOG00000056936	7SK	ensembl	misc_RNA
ENSRNOG00000017105	Dpyd	ensembl_havana	protein_coding
ENSRNOG00000053591	AABR07013085.1	ensembl	lincRNA
ENSRNOG00000023365	AABR07013086.1	ensembl	protein_coding
ENSRNOG00000049260	AABR07013095.1	ensembl	protein_coding
ENSRNOG00000030575	AABR07013111.1	ensembl	protein_coding
ENSRNOG00000053956	AABR07013116.1	ensembl	protein_coding
ENSRNOG00000058307	U6	ensembl	snRNA
ENSRNOG00000010827	Ptbp2	ensembl	protein_coding
ENSRNOG00000056315	U6	ensembl	snRNA
ENSRNOG00000051918	AABR07013123.1	ensembl	lincRNA
ENSRNOG00000051673	AABR07013135.1	ensembl	snoRNA
ENSRNOG00000056951	AABR07013140.1	ensembl	lincRNA
ENSRNOG00000060318	U6	ensembl	snRNA
