PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID,P_value,qvalues,abs(fold_change),fold_change,getVipVn.caecum_mixture.oplsda.
3931,pantetheine,Cofactors and Vitamins,Pantothenate and CoA Metabolism,57555,LC/MS Pos Early,100001495,2056,279.13731,496-65-1,439322,388453,C00831,NA,0.333919802,0.778115102,1.198714734,1.198714734,1.41947249
454,guanidinoacetate,Amino Acid,Creatine Metabolism,43802,LC/MS Pos Early,344,1937,118.06111,352-97-6,763,743,C00581,HMDB00128,0.054049481,0.633175302,1.658852356,1.658852356,1.419461804
6,betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism",3141,LC/MS Pos Early,799,1064,118.08626,107-43-7,247,24219951173,C00719,HMDB00043,0.114478908,0.670184419,1.850397739,1.850397739,1.417190091
2289,1-palmitoyl-GPA (16:0),Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600,409.23606,17618-08-5,6419701,4925335,C04036,HMDB00327,0.117283419,0.670184419,0.24101542,-8.298224234,1.41143252
1247,glucuronate,Carbohydrate,Aminosugar Metabolism,15443,LC/MS Polar,100000257,3233.3,193.03537,207300-70-7,444791,58552,C00191,HMDB00127,0.138083892,0.670639811,0.509989376,-3.921650319,1.403814634
551,gamma-glutamylglycine,Peptide,Gamma-glutamyl Amino Acid,33949,LC/MS Pos Early,100001294,1535,205.0819,1948-29-4,165527,145071,NA,HMDB11667,0.35707308,0.781276428,1.815142902,1.815142902,1.398434566
9,serine,Amino Acid,"Glycine, Serine and Threonine Metabolism",1648,LC/MS Pos Early,503,1239,106.04987,56-45-1,5951,5736,C00065,HMDB00187,0.160275048,0.699501804,1.312720093,1.312720093,1.396096053
3774,2'-deoxyadenosine,Nucleotide,"Purine Metabolism, Adenine containing",1553,LC/MS Pos Early,211,2252,252.10912,16373-93-6,13730,13135,C00559,HMDB00101,0.025127405,0.501328614,2.098097123,2.098097123,1.395022219
4253,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050,133.05063,1756-18-9,677,657,C04039,HMDB12141,0.019133461,0.492102131,0.627930326,-3.185066744,1.393951669
5207,2-aminophenol sulfate,Xenobiotics,Chemical,43266,LC/MS Neg,100004322,1677,188.0023,NA,181670,158022,NA,HMDB61116,0.072249179,0.647780054,12.23640081,12.23640081,1.39002522
3823,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",33442,LC/MS Neg,821,1100,243.06226,1445-07-4,15047,21403010,C02067,HMDB00767,0.497071133,0.822899862,1.135114276,1.135114276,1.388079682
1,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",58,LC/MS Pos Early,340,1375,76.03931,56-40-6,750,730,C00037,HMDB00123,0.442595308,0.815474719,1.094652516,1.094652516,1.378023134
3089,glyco-beta-muricholate**,Lipid,Primary Bile Acid Metabolism,62066,LC/MS Neg,100020214,4762,464.30176,NA,NA,NA,NA,NA,0.208559293,0.720741384,0.436602871,-4.580821918,1.377025055
2555,2-myristoylglycerol (14:0),Lipid,Monoacylglycerol,34383,LC/MS Neg,100001408,6230,227.20163,27214-38-6,137938,121585,NA,HMDB11530,0.197308965,0.706946876,1.719812813,1.719812813,1.375479731
1115,xylose,Carbohydrate,Pentose Metabolism,15581,LC/MS Polar,826,1727,195.05103,609-06-3,135191,85957,C00181,HMDB00098,0.199366527,0.706946876,0.505527045,-3.95626707,1.373829728
353,valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1649,LC/MS Pos Early,566,2479,118.08626,72-18-4,6287,6050,C00183,HMDB00883,0.116456206,0.670184419,1.405760822,1.405760822,1.372215322
98,N2-acetyllysine,Amino Acid,Lysine Metabolism,36751,LC/MS Polar,100001721,3372.6,187.10881,1946-82-3,92907,83869,C12989,HMDB00446,0.259416805,0.765886998,1.110432527,1.110432527,1.367047815
3880,methylphosphate,Nucleotide,Purine and Pyrimidine Metabolism,37070,LC/MS Pos Early,100001805,544,112.99983,7023-27-0,13130,12578,NA,HMDB61711,0.157017343,0.693958412,1.945759076,1.945759076,1.366203265
3825,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57655,LC/MS Neg,100010896,1831,257.07791,2140-76-3,102212,92343,NA,NA,0.374747347,0.781276428,1.127399436,1.127399436,1.364993403
4262,2-oxindole-3-acetate,Xenobiotics,Food Component/Plant,40479,LC/MS Neg,100003109,2076,190.05096,2971-31-5,3080590,2338343,NA,HMDB35514,0.255853628,0.765886998,0.702454116,-2.847161051,1.362909849
2067,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC),52611,LC/MS Pos Late,100008916,2197,834.60128,59403-52-0,NA,NA,NA,HMDB08057,0.217361712,0.72833864,4.488810601,4.488810601,1.362433024
1752,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1267,131.07136,44843-89-2,170748,149280,NA,HMDB00525,0.285313833,0.769432033,1.113664095,1.113664095,1.360049664
4051,benzoate,Xenobiotics,Benzoate Metabolism,15778,LC/MS Neg,100000008,1750,121.0295,65-85-0,243,238,C00180,HMDB01870,0.082330472,0.660821644,3.202836126,3.202836126,1.359697926
3108,6-beta-hydroxylithocholate,Lipid,Secondary Bile Acid Metabolism,36807,LC/MS Neg,100001625,4830,391.28538,668-49-5,5283821,4446909,C15515,HMDB00811,0.289773577,0.770725355,1.209673395,1.209673395,1.338384567
4041,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,18281,LC/MS Neg,1869,2184,194.04588,487-54-7,10253,9835,C07588,HMDB00840,0.332337794,0.778115102,1.074316508,1.074316508,1.337476291
276,indoleacetylglycine,Amino Acid,Tryptophan Metabolism,54730,LC/MS Neg,100006730,2610,231.07751,NA,446640,393944,NA,NA,0.143305293,0.671689345,8.644291953,8.644291953,1.337299971
4377,ferulate,Xenobiotics,Food Component/Plant,35630,LC/MS Neg,100001542,1755,193.05063,537-98-4,445858,393368,C01494,HMDB00954,0.212619833,0.720741384,0.756262332,-2.644584973,1.333654143
4037,hippurate,Xenobiotics,Benzoate Metabolism,15753,LC/MS Neg,100000014,2106.9,178.05096,495-69-2,464,451,C01586,HMDB00714,0.097291336,0.670184419,6.798166152,6.798166152,1.33026
1039,4-hydroxyphenylacetylglycine,Peptide,Acetylated Peptides,43525,LC/MS Neg,100004418,1622,208.06153,28116-23-6,440732,389604,C05596,NA,0.170284591,0.700820765,1.628111965,1.628111965,1.327698221
35,aspartate,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Pos Early,234,1165,134.04479,56-84-8,5960,5745,C00049,HMDB00191,0.159650346,0.699501804,1.365465144,1.365465144,1.32727168
1117,arabinose,Carbohydrate,Pentose Metabolism,575,LC/MS Polar,828,1804.5,195.05103,28697-53-2,66308,59687,C00216,HMDB00646,0.180944263,0.700820765,0.496738015,-4.026267251,1.326064388
3927,flavin mononucleotide (FMN),Cofactors and Vitamins,Riboflavin Metabolism,15797,LC/MS Neg,100000251,2390,455.09733,130-40-5,710,690,C00061,HMDB01520,0.30208243,0.773654391,1.57967416,1.57967416,1.321139077
1144,maltose,Carbohydrate,Glycogen Metabolism,15586,LC/MS Polar,913,3329.4,387.11442,6363-53-7,10991489,388469,C00208,HMDB00163,0.106884529,0.670184419,0.5833839,-3.428274245,1.317160352
1698,carnitine,Lipid,Carnitine Metabolism,15500,LC/MS Pos Early,100000007,1978,162.11247,461-05-2,10917,10455,C00318,HMDB00062,0.084367143,0.662966014,1.491217506,1.491217506,1.313389037
1713,linoleoylcholine*,Lipid,Fatty Acid Metabolism (Acyl Choline),57463,LC/MS Pos Late,100015760,1388,366.33666,NA,NA,NA,NA,NA,0.261079703,0.765886998,0.800637085,-2.498010693,1.30974469
370,methionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1302,LC/MS Pos Early,415,2526,150.05833,63-68-3,6137,5907,C00073,HMDB00696,0.089375606,0.662966014,1.431547448,1.431547448,1.308652391
76,formiminoglutamate,Amino Acid,Histidine Metabolism,43493,LC/MS Pos Early,100002500,1880,175.07134,816-90-0,439233,388370,C00439,HMDB00854,0.352251676,0.781276428,1.158027989,1.158027989,1.305082908
1087,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",22250,LC/MS Polar,823,2650,175.02481,127-17-3,1060,96901,C00022,HMDB00243,0.150276515,0.690383549,0.86911523,-2.301190832,1.300682958
2304,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,33955,LC/MS Pos Late,100001263,1525,496.33977,17364-16-8,86554,78064,NA,HMDB10382,0.173971813,0.700820765,4.098758784,4.098758784,1.300334718
2199,1-palmitoyl-2-oleoyl-glycosyl-GPE (16:0/18:1)**,Lipid,Glycosyl PE,63200,LC/MS Pos Late,100021389,2512,880.59096,NA,NA,NA,NA,NA,0.067791662,0.647780054,1.983448966,1.983448966,1.289428943
280,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,27672,LC/MS Neg,100000467,2222.2,212.0023,2642-37-7,10258,9840,NA,HMDB00682,0.089432766,0.662966014,10.33380809,10.33380809,1.288735999
449,argininate*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,57461,LC/MS Pos Early,100002769,2150,176.10297,157-07-3,160437,140984,NA,HMDB03148,0.026847564,0.506694364,1.647710155,1.647710155,1.285030737
1593,propionylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),31932,LC/MS Polar,100001150,1502.5,130.05096,21709-90-0,98681,89122,NA,HMDB00783,0.273028659,0.765886998,1.318297048,1.318297048,1.276505663
2655,digalactosylglycerol*,Lipid,Galactosyl Glycerolipids,57346,LC/MS Neg,100003065,781,415.14571,NA,NA,24695921,NA,NA,0.226995785,0.730272339,0.586548685,-3.409776631,1.276441682
4675,lactobacillic acid,Xenobiotics,Bacterial/Fungal,63048,LC/MS Neg,100021065,5822,295.26425,503-06-0,10417,9988,NA,NA,0.300213957,0.773654391,1.325070435,1.325070435,1.275815793
2033,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),52610,LC/MS Pos Late,100008915,2023,806.56944,59403-54-2,6441886,4946007,NA,HMDB07991,0.309391845,0.778115102,1.747287621,1.747287621,1.271258482
1774,10-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",47123,LC/MS Neg,100005852,5370,299.25917,NA,9561835,7838048,NA,HMDB37396,0.489323932,0.822899862,1.007773845,1.007773845,1.262077846
4346,coumestrol,Xenobiotics,Food Component/Plant,38134,LC/MS Neg,100002264,4375,267.02989,479-13-0,5281707,4445024,C10205,HMDB02326,0.100561236,0.670184419,1.322123653,1.322123653,1.254068596
4043,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,39600,LC/MS Neg,100002122,1687,194.04588,1637-75-8,450268,396603,NA,HMDB06116,0.296446336,0.773654391,2.092890656,2.092890656,1.253382396
1243,glucosamine-6-phosphate,Carbohydrate,Aminosugar Metabolism,580,LC/MS Polar,290,4521.5,258.03843,3616-42-0,439217,8013767,C00352,HMDB01254,0.304328687,0.773654391,2.086444153,2.086444153,1.249131158
1734,2-hydroxylignocerate*,Lipid,"Fatty Acid, Monohydroxy",61699,LC/MS Neg,100019894,6805,383.35307,NA,102430,92507,C17873,HMDB39540,0.264594163,0.765886998,1.708943949,1.708943949,1.246624492
335,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2064.2,129.05572,1460-34-0;51829-07-3,47,46,C00671,HMDB03736,0.27817383,0.76778329,2.309202055,2.309202055,1.245172219
97,lysine,Amino Acid,Lysine Metabolism,1301,LC/MS Pos Early,407,2850,147.11281,56-87-1,5962,5747,C00047,HMDB00182,0.136327363,0.670639811,1.37043174,1.37043174,1.239985759
3944,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,27738,LC/MS Polar,100001022,2384,135.02989,70753-61-6,151152,133224,C01620,HMDB00943,0.123694524,0.670184419,0.71492805,-2.797484305,1.235444227
106,N6-methyllysine,Amino Acid,Lysine Metabolism,62860,LC/MS Pos Early,100003415,2831,161.12846,1188-07-4,164795,144469,C02728,HMDB02038,0.239140013,0.742185792,1.124970279,1.124970279,1.234933356
938,valylglycine,Peptide,Dipeptide,40475,LC/MS Pos Early,100003641,2444,175.10772,686-43-1,136487,120256,NA,HMDB29127,0.055210686,0.633175302,2.214731972,2.214731972,1.232770751
2150,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phosphatidylethanolamine (PE),52446,LC/MS Pos Late,100008976,2522,744.55378,NA,9546749,7825699,NA,HMDB08994,0.2596448,0.765886998,1.30237009,1.30237009,1.231216416
162,4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,1669,LC/MS Neg,1141,1690,179.03498,156-39-8,979,954,C01179,HMDB00707,0.341744466,0.778115102,1.185220409,1.185220409,1.229271973
171,phenol sulfate,Amino Acid,Tyrosine Metabolism,32553,LC/MS Neg,100001510,2156,172.9914,937-34-8,74426,67018,C02180,HMDB60015,0.091129103,0.662966014,4.62039268,4.62039268,1.221729393
127,"N,N-dimethyl-5-aminovalerate",Amino Acid,Lysine Metabolism,62819,LC/MS Pos Early,100020842,2290,146.11756,NA,NA,NA,NA,NA,0.370808615,0.781276428,0.800469285,-2.498534344,1.220744144
3754,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.07743,5142-22-3,78821,71157,C02216,HMDB11599,0.372499604,0.781276428,1.089684684,1.089684684,1.215821662
1757,8-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",21239,LC/MS Neg,100000956,2300,159.10266,764-89-6,69820,63018,NA,HMDB61914,0.039636907,0.546909495,0.843367639,-2.371445034,1.212264407
4114,p-cresol sulfate,Xenobiotics,Benzoate Metabolism,36103,LC/MS Neg,100001315,2890,187.00705,3233-57-7,4615423,3806480,NA,HMDB11635,0.126775157,0.670184419,4.220003691,4.220003691,1.210898882
3824,"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119,245.07791,1361384,94312,85115,NA,NA,0.648347294,0.896518449,1.161046905,1.161046905,1.209672252
3790,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Pos Early,100001456,2175,166.07234,578-76-7,11361,10883,C02242,HMDB00897,0.557955997,0.849696684,1.170802651,1.170802651,1.209641673
40,N-acetylasparagine,Amino Acid,Alanine and Aspartate Metabolism,33942,LC/MS Pos Early,100001257,785,175.07134,4033-40-3,99715,90090,NA,HMDB06028,0.480106292,0.822899862,1.090944649,1.090944649,1.207887726
1607,valerylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),36768,LC/MS Neg,100001451,2071,158.08226,24003-66-5,4737557,3924818,NA,HMDB00927,0.561388376,0.85221366,1.037691146,1.037691146,1.206410697
1135,ribulonate/xylulonate/lyxonate*,Carbohydrate,Pentose Metabolism,61858,LC/MS Polar,100019968,2350,165.04046,NA,NA,NA,NA,NA,0.271189437,0.765886998,0.581334561,-3.440359705,1.200486362
1733,2-hydroxybehenate,Lipid,"Fatty Acid, Monohydroxy",57663,LC/MS Neg,100015637,6384,355.32177,NA,193484,167899,NA,NA,0.290276908,0.770725355,1.643435095,1.643435095,1.198596386
2658,1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,Lipid,Galactosyl Glycerolipids,54901,LC/MS Pos Late,100010893,2731,772.59333,NA,NA,23326991,NA,NA,0.093041014,0.662966014,0.732445769,-2.730577586,1.184455234
4069,catechol sulfate,Xenobiotics,Benzoate Metabolism,35320,LC/MS Neg,100001605,1906,188.98631,4918-96-1,3083879,2341024,NA,HMDB59724,0.092211593,0.662966014,6.863922955,6.863922955,1.180456268
1644,stearoylcarnitine (C18),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",34409,LC/MS Pos Late,100001391,1485,428.37344,18822-91-8,6426855,21233653,NA,HMDB00848,0.233726316,0.741558342,1.191265873,1.191265873,1.178007934
1973,glycerophosphoserine*,Lipid,Phospholipid Metabolism,57404,LC/MS Pos Early,100015666,577,260.05298,NA,3081457,2339060,NA,NA,0.269883212,0.765886998,0.769905902,-2.597720053,1.17791093
1645,arachidoylcarnitine (C20)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57513,LC/MS Pos Late,100015833,1512,456.40474,NA,NA,28639199,NA,HMDB06460,0.362567715,0.781276428,1.174510565,1.174510565,1.169219921
1394,dihomo-linoleate (20:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),17805,LC/MS Neg,1231,5730,307.26425,2091-39-6,6439848,4944228,C16525,HMDB05060,0.329111353,0.778115102,1.200526748,1.200526748,1.168923841
2,N-acetylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",27710,LC/MS Polar,100001006,1780,116.03531,543-24-8,10972,10507,NA,HMDB00532,0.624523134,0.881306827,1.041529345,1.041529345,1.151709487
139,phenylpyruvate,Amino Acid,Phenylalanine Metabolism,566,LC/MS Neg,241,2515,163.04007,156-06-9,997,972,C00166,HMDB00205,0.302849152,0.773654391,1.257396972,1.257396972,1.151208127
66,histidine,Amino Acid,Histidine Metabolism,59,LC/MS Neg,355,755.9,154.0622,5934-29-2,6274,752,C00135,HMDB00177,0.118450722,0.670184419,1.612458171,1.612458171,1.14563425
1735,2-hydroxynervonate*,Lipid,"Fatty Acid, Monohydroxy",61698,LC/MS Neg,100015638,6345,381.33742,NA,5312783,4472208,NA,NA,0.326827245,0.778115102,1.513293536,1.513293536,1.143566077
2890,3beta-Hydroxy-7-oxo-5-cholestenoic acid,Lipid,Sterol,36834,LC/MS Neg,100001610,5236,429.30103,1246298-64-5,NA,NA,NA,NA,0.127587379,0.670184419,0.636102606,-3.144146841,1.142288555
424,homocitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,22138,LC/MS Pos Early,100000963,1908,190.11862,1190-49-4,65072,58582,C02427,HMDB00679,0.067129741,0.647780054,1.337798949,1.337798949,1.140908655
1504,undecanedioate (C11-DC),Lipid,"Fatty Acid, Dicarboxylate",42395,LC/MS Neg,100001617,2440,215.12888,1852-04-6,15816,15037,NA,HMDB00888,0.634629776,0.883930378,1.074922297,1.074922297,1.138744411
3735,2'-deoxyinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,LC/MS Neg,100000135,1688,251.07857,890-38-0,65058,58569,C05512,HMDB00071,0.087643169,0.662966014,1.860157924,1.860157924,1.138642301
163,tyrosol,Amino Acid,Tyrosine Metabolism,41515,LC/MS Neg,100003493,2716,137.0608,501-94-0,10393,9964,C06044,HMDB04284,0.118088204,0.670184419,1.648474671,1.648474671,1.138416322
1732,2-hydroxyarachidate*,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990,327.29047,NA,5225199,4395406,NA,NA,0.327925268,0.778115102,1.504490253,1.504490253,1.136868104
2395,1-palmitoyl-GPS (16:0)*,Lipid,Lysophospholipid,46130,LC/MS Neg,100005805,5572,496.26809,NA,9547100,7826050,NA,NA,0.200451386,0.706946876,0.537083462,-3.723816019,1.135188292
5261,glyphosate,Xenobiotics,Chemical,38018,LC/MS Neg,100002148,611.6,168.00673,1071-83-6,3496,3376,C01705,HMDB00370,0.271260158,0.765886998,1.410434783,1.410434783,1.133134951
2697,N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Ceramides,44877,LC/MS Pos Late,1518,2893,538.51937,24696-26-2,5283564,4446677,NA,HMDB04949,0.138234075,0.670639811,1.206845771,1.206845771,1.131186236
299,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840,131.07136,10303-64-7,83697,75520,C03264,HMDB00746,0.298247149,0.773654391,0.493509173,-4.052609576,1.125809282
1342,stearate (18:0),Lipid,Long Chain Saturated Fatty Acid,1358,LC/MS Neg,439,5872,283.26425,57-11-4,5281,5091,C01530,HMDB00827,0.317010595,0.778115102,1.340424624,1.340424624,1.118517582
2336,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysophospholipid,33228,LC/MS Pos Late,100001551,1460,544.33977,NA,NA,21403155,C05208,HMDB10395,0.209347009,0.720741384,3.666552662,3.666552662,1.113999276
1478,dimethylmalonic acid,Lipid,"Fatty Acid, Dicarboxylate",42978,LC/MS Polar,100004251,2702,131.03498,595-46-0,11686,11195,NA,HMDB02001,0.568394709,0.855544027,1.038571189,1.038571189,1.113339695
372,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2829,LC/MS Neg,194,1543.8,176.03869,4289-98-9,439750,388809,C03145,HMDB01015,0.313505761,0.778115102,1.180945588,1.180945588,1.112104307
2365,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid,42398,LC/MS Pos Late,100001461,1626,482.32412,69747-55-3,9547068,7826018,NA,HMDB11130,0.128666037,0.670184419,0.747631058,-2.67511626,1.101445754
499,2-aminobutyrate,Amino Acid,Glutathione Metabolism,42374,LC/MS Pos Early,1128,2059,104.07061,1492-24-6,439691,388757,C02261,HMDB00650,0.039649138,0.546909495,1.487329742,1.487329742,1.0911773
68,3-methylhistidine,Amino Acid,Histidine Metabolism,15677,LC/MS Pos Early,100000042,2670,170.09241,368-16-1,64969,58494,C01152,HMDB00479,0.076070005,0.647780054,1.296847468,1.296847468,1.091123845
762,isoleucylglycine,Peptide,Dipeptide,40008,LC/MS Neg,100003169,1992,187.10881,868-28-0,342532,303621,NA,HMDB28907,0.156267043,0.693958412,1.601222281,1.601222281,1.090480708
3897,nicotinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1504,LC/MS Pos Early,567,1673,124.03931,59-67-6,938,913,C00253,HMDB01488,0.45472544,0.822899862,1.049439271,1.049439271,1.08966777
3840,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Pos Early,1053,875,133.06077,462-88-4,111,109,C02642,HMDB00026,0.881745352,0.92326884,0.973353722,-2.05475148,1.086048389
2531,glycerol 3-phosphate,Lipid,Glycerolipid Metabolism,43847,LC/MS Pos Early,100000258,580,173.02095,29849-82-9,754,734,C00093,HMDB00126,0.378205782,0.781276428,0.908872426,-2.200528855,1.085662017
1134,sedoheptulose,Carbohydrate,Pentose Metabolism,53237,LC/MS Polar,100002619,2255,209.06667,3019-74-7,5459879,4573620,NA,HMDB03219,0.126286384,0.670184419,1.384172213,1.384172213,1.084487548
1709,oleoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline),53260,LC/MS Pos Late,100009331,1449,368.35231,NA,NA,NA,NA,NA,0.331625517,0.778115102,0.851501064,-2.348793306,1.082492617
1628,acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",32198,LC/MS Pos Early,100000802,2282,204.12304,5080-50-2,1,5406074,C02571,HMDB00201,0.192229433,0.706946876,1.511959912,1.511959912,1.080889231
2404,1-stearoyl-GPG (18:0),Lipid,Lysophospholipid,34437,LC/MS Neg,100001462,5816,511.30414,NA,NA,21403138,NA,NA,0.181201087,0.700820765,0.526779887,-3.796652171,1.079230634
4669,3-deoxyoctulosonate,Xenobiotics,Bacterial/Fungal,43805,LC/MS Neg,100000095,654.9,237.06159,103404-70-2,4636210,3826376,NA,NA,0.421297875,0.808386673,1.106608047,1.106608047,1.07867341
1112,ribulose/xylulose,Carbohydrate,Pentose Metabolism,54671,LC/MS Polar,100006122,1400,195.05102,NA,5289590,NA,NA,NA,0.397455353,0.790722581,0.690930912,-2.89464542,1.077561374
2491,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,52677,LC/MS Pos Late,100009069,2351,700.52757,NA,NA,24769229,NA,HMDB11343,0.236303039,0.741558342,1.519227495,1.519227495,1.074543881
263,tryptamine,Amino Acid,Tryptophan Metabolism,6104,LC/MS Pos Early,1095,3062,161.10733,61-54-1,1150,1118,C00398,HMDB00303,0.056473215,0.633175302,0.815262482,-2.453197642,1.0721686
2135,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),42449,LC/MS Pos Late,100001870,2275,716.52248,NA,9546747,7825697,NA,HMDB05322,0.440711949,0.815186108,1.148495808,1.148495808,1.070988014
1480,glutarate (C5-DC),Lipid,"Fatty Acid, Dicarboxylate",396,LC/MS Polar,339,2900,131.03498,110-94-1,743,3618533,C00489,HMDB00661,0.200125003,0.706946876,0.84880844,-2.356244243,1.069671033
479,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,1419,LC/MS Pos Early,212,2752,298.09684,2457-80-9,439176,388321,C00170,HMDB01173,0.418796544,0.808386673,1.144392779,1.144392779,1.065200755
1271,erythronate*,Carbohydrate,Aminosugar Metabolism,42420,LC/MS Polar,100001320,2186,135.02989,88759-55-1,2781043,2061231,NA,HMDB00613,0.105483634,0.670184419,0.804902153,-2.484774072,1.064471938
3820,"uridine-2',3'-cyclic monophosphate",Nucleotide,"Pyrimidine Metabolism, Uracil containing",37137,LC/MS Neg,75,1090,305.01803,40632-52-8,439715,3824355,C02355,HMDB11640,0.296740208,0.773654391,1.249808364,1.249808364,1.064319838
69,N-acetylhistidine,Amino Acid,Histidine Metabolism,33946,LC/MS Pos Early,100001293,2065,198.08732,39145-52-3,75619,68142,C02997,HMDB32055,0.309153673,0.778115102,1.478726463,1.478726463,1.063476191
360,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46537,LC/MS Polar,100001300,1052,117.05571,600-37-3,99823,90190,NA,HMDB00407,0.430980446,0.808386673,0.648330349,-3.084847107,1.06043582
2685,sphingadienine,Lipid,Sphingolipid Synthesis,57426,LC/MS Pos Late,100015643,1350,298.27406,25696-03-1,6449795,4952479,NA,NA,0.224255434,0.730272339,1.104289654,1.104289654,1.059770103
4001,L-urobilin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,40173,LC/MS Neg,100002568,4624,593.33446,34217-90-8,5280818,4444369,C05793,HMDB04159,0.52784614,0.830217413,1.1199315,1.1199315,1.058448621
109,"hydroxy-N6,N6,N6-trimethyllysine*",Amino Acid,Lysine Metabolism,62959,LC/MS Pos Early,100021123,2759,205.15468,NA,NA,NA,NA,NA,0.393082369,0.790722581,1.163106356,1.163106356,1.057012802
1035,phenylacetylglutamine,Peptide,Acetylated Peptides,35126,LC/MS Neg,100001417,2330,263.10373,28047-15-6,92258,270643,C04148,HMDB06344,0.173707185,0.700820765,1.447704551,1.447704551,1.052242217
30,N-acetylalanine,Amino Acid,Alanine and Aspartate Metabolism,1585,LC/MS Polar,1110,1564.8,130.05096,97-69-8,88064,79449,C02847,HMDB00766,0.112685254,0.670184419,1.529236015,1.529236015,1.049614889
3875,thymidine sulfate (2),Nucleotide,"Pyrimidine Metabolism, Thymine containing",63408,LC/MS Neg,100021493,1731,321.03981,NA,NA,NA,NA,NA,0.117764821,0.670184419,2.972829066,2.972829066,1.048570405
1388,docosatrienoate (22:3n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),32417,LC/MS Neg,100001195,5823,333.2799,59708-86-0,5312556,4471981,C16534,HMDB02823,0.537778313,0.838239607,1.341869184,1.341869184,1.043847058
