category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,padjust
GO:0001997,1,0.988676804,0,1,positive regulation of the force of heart contraction by epinephrine-norepinephrine,BP,1
GO:0001998,1,0.96636969,0,3,angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure,BP,1
GO:0001999,1,0.944970921,0,5,renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,BP,1
GO:0002001,1,0.955810911,0,4,renin secretion into blood stream,BP,1
GO:0002002,1,0.956614598,0,4,regulation of angiotensin levels in blood,BP,1
GO:0002003,1,0.966369683,0,3,angiotensin maturation,BP,1
GO:0002011,1,0.637559816,0,45,morphogenesis of an epithelial sheet,BP,1
GO:0002014,1,0.988662931,0,1,vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure,BP,1
GO:0002018,1,0.966369951,0,3,renin-angiotensin regulation of aldosterone production,BP,1
GO:0002019,1,0.966369536,0,3,regulation of renal output by angiotensin,BP,1
GO:0002024,1,0.937022681,0,6,diet induced thermogenesis,BP,1
GO:0002026,1,0.849879907,0,15,regulation of the force of heart contraction,BP,1
GO:0002027,1,0.677054555,0,35,regulation of heart rate,BP,1
GO:0002029,1,0.875100881,0,12,desensitization of G protein-coupled receptor signaling pathway,BP,1
GO:0002030,1,0.978105744,0,2,inhibitory G protein-coupled receptor phosphorylation,BP,1
GO:0002031,1,0.915287965,0,8,G protein-coupled receptor internalization,BP,1
GO:0002032,1,0.988662917,0,1,desensitization of G protein-coupled receptor signaling pathway by arrestin,BP,1
GO:0002033,1,0.988663105,0,1,angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure,BP,1
GO:0002034,1,0.955410961,0,4,regulation of blood vessel diameter by renin-angiotensin,BP,1
GO:0002036,1,0.947486693,0,5,regulation of L-glutamate import across plasma membrane,BP,1
GO:0002037,1,0.988662522,0,1,negative regulation of L-glutamate import across plasma membrane,BP,1
GO:0002038,1,0.977453329,0,2,positive regulation of L-glutamate import across plasma membrane,BP,1
GO:0002041,1,0.977453375,0,2,intussusceptive angiogenesis,BP,1
GO:0002044,1,0.988662931,0,1,blood vessel endothelial cell migration involved in intussusceptive angiogenesis,BP,1
GO:0002051,1,0.966638039,0,3,osteoblast fate commitment,BP,1
GO:0002062,1,0.503910448,0,63,chondrocyte differentiation,BP,1
GO:0002063,1,0.819663969,0,19,chondrocyte development,BP,1
GO:0002071,1,0.988662931,0,1,glandular epithelial cell maturation,BP,1
GO:0002072,1,0.959562637,0,4,optic cup morphogenesis involved in camera-type eye development,BP,1
GO:0002076,1,0.876805272,0,12,osteoblast development,BP,1
GO:0002084,1,0.902702114,0,9,protein depalmitoylation,BP,1
GO:0002086,1,0.988662885,0,1,diaphragm contraction,BP,1
GO:0002087,1,0.948075948,0,5,regulation of respiratory gaseous exchange by neurological system process,BP,1
GO:0002088,1,0.61610789,0,46,lens development in camera-type eye,BP,1
GO:0002089,1,0.842307387,0,16,lens morphogenesis in camera-type eye,BP,1
GO:0002091,1,0.926613653,0,7,negative regulation of receptor internalization,BP,1
GO:0002093,1,0.874264957,0,13,auditory receptor cell morphogenesis,BP,1
GO:0002097,1,0.843008688,0,15,tRNA wobble base modification,BP,1
GO:0002098,1,0.852687929,0,14,tRNA wobble uridine modification,BP,1
GO:0002101,1,0.988662931,0,1,tRNA wobble cytosine modification,BP,1
GO:0002115,1,0.868560408,0,13,store-operated calcium entry,BP,1
GO:0002118,1,0.988662912,0,1,aggressive behavior,BP,1
GO:0002125,1,0.988662912,0,1,maternal aggressive behavior,BP,1
GO:0002128,1,0.988662931,0,1,tRNA nucleoside ribose methylation,BP,1
GO:0002138,1,0.944575129,0,5,retinoic acid biosynthetic process,BP,1
GO:0002143,1,0.955411583,0,4,tRNA wobble position uridine thiolation,BP,1
GO:0002152,1,0.988662922,0,1,bile acid conjugation,BP,1
GO:0002154,1,0.939211279,0,6,thyroid hormone mediated signaling pathway,BP,1
GO:0002155,1,0.957884989,0,4,regulation of thyroid hormone mediated signaling pathway,BP,1
GO:0002158,1,0.956183635,0,4,osteoclast proliferation,BP,1
GO:0002159,1,0.967240938,0,3,desmosome assembly,BP,1
GO:0002176,1,0.944574698,0,5,male germ cell proliferation,BP,1
GO:0002181,1,0.400346843,0,81,cytoplasmic translation,BP,1
GO:0002182,1,0.923927629,0,7,cytoplasmic translational elongation,BP,1
GO:0002183,1,0.71917636,0,29,cytoplasmic translational initiation,BP,1
GO:0002184,1,0.977472293,0,2,cytoplasmic translational termination,BP,1
GO:0002188,1,0.977453277,0,2,translation reinitiation,BP,1
GO:0002190,1,0.944604487,0,5,cap-independent translational initiation,BP,1
GO:0002191,1,0.977453343,0,2,cap-dependent translational initiation,BP,1
GO:0002192,1,0.977453073,0,2,IRES-dependent translational initiation of linear mRNA,BP,1
GO:0002194,1,0.989874949,0,1,hepatocyte cell migration,BP,1
GO:0002209,1,0.802150299,0,21,behavioral defense response,BP,1
GO:0002220,1,0.977476333,0,2,innate immune response activating cell surface receptor signaling pathway,BP,1
GO:0002225,1,0.98918315,0,1,positive regulation of antimicrobial peptide production,BP,1
GO:0002227,1,0.955912882,0,4,innate immune response in mucosa,BP,1
GO:0002228,1,0.695663945,0,32,natural killer cell mediated immunity,BP,1
GO:0002232,1,0.955410558,0,4,leukocyte chemotaxis involved in inflammatory response,BP,1
GO:0002238,1,0.95791353,0,4,response to molecule of fungal origin,BP,1
GO:0002246,1,0.925227368,0,7,wound healing involved in inflammatory response,BP,1
GO:0002248,1,0.945562513,0,5,connective tissue replacement involved in inflammatory response wound healing,BP,1
GO:0002249,1,0.944993286,0,5,lymphocyte anergy,BP,1
GO:0002251,1,0.895592761,0,10,organ or tissue specific immune response,BP,1
GO:0002254,1,0.97745723,0,2,kinin cascade,BP,1
GO:0002264,1,0.988662931,0,1,endothelial cell activation involved in immune response,BP,1
GO:0002265,1,0.963955273,0,4,astrocyte activation involved in immune response,BP,1
GO:0002266,1,0.977645771,0,2,follicular dendritic cell activation,BP,1
GO:0002268,1,0.977645771,0,2,follicular dendritic cell differentiation,BP,1
GO:0002270,1,0.977453635,0,2,plasmacytoid dendritic cell activation,BP,1
GO:0002275,1,0.573274356,0,50,myeloid cell activation involved in immune response,BP,1
GO:0002276,1,0.966434803,0,3,basophil activation involved in immune response,BP,1
GO:0002277,1,0.98866253,0,1,myeloid dendritic cell activation involved in immune response,BP,1
GO:0002278,1,0.966369421,0,3,eosinophil activation involved in immune response,BP,1
GO:0002279,1,0.723750484,0,29,mast cell activation involved in immune response,BP,1
GO:0002280,1,0.992203716,0,1,monocyte activation involved in immune response,BP,1
GO:0002281,1,0.899611666,0,10,macrophage activation involved in immune response,BP,1
GO:0002282,1,0.966377519,0,3,microglial cell activation involved in immune response,BP,1
GO:0002283,1,0.875634969,0,12,neutrophil activation involved in immune response,BP,1
GO:0002291,1,0.925379218,0,7,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,BP,1
GO:0002295,1,0.951461443,0,5,T-helper cell lineage commitment,BP,1
GO:0002296,1,0.971826541,0,3,T-helper 1 cell lineage commitment,BP,1
GO:0002298,1,0.988662892,0,1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response",BP,1
GO:0002309,1,0.955410637,0,4,T cell proliferation involved in immune response,BP,1
GO:0002314,1,0.977453325,0,2,germinal center B cell differentiation,BP,1
GO:0002316,1,0.988663643,0,1,follicular B cell differentiation,BP,1
GO:0002317,1,0.966382441,0,3,plasma cell differentiation,BP,1
GO:0002318,1,0.924086489,0,7,myeloid progenitor cell differentiation,BP,1
GO:0002322,1,0.967706565,0,3,B cell proliferation involved in immune response,BP,1
GO:0002323,1,0.913858,0,8,natural killer cell activation involved in immune response,BP,1
GO:0002325,1,0.988662931,0,1,natural killer cell differentiation involved in immune response,BP,1
GO:0002326,1,0.963074118,0,4,B cell lineage commitment,BP,1
GO:0002329,1,0.951040717,0,5,pre-B cell differentiation,BP,1
GO:0002331,1,0.99507895,0,1,pre-B cell allelic exclusion,BP,1
GO:0002336,1,0.988662913,0,1,B-1 B cell lineage commitment,BP,1
GO:0002337,1,0.967323185,0,3,B-1a B cell differentiation,BP,1
GO:0002339,1,0.966369488,0,3,B cell selection,BP,1
GO:0002343,1,0.988662902,0,1,peripheral B cell selection,BP,1
GO:0002344,1,0.988662902,0,1,B cell affinity maturation,BP,1
GO:0002347,1,0.884002328,0,11,response to tumor cell,BP,1
GO:0002349,1,0.944992325,0,5,histamine production involved in inflammatory response,BP,1
GO:0002351,1,0.968877674,0,3,serotonin production involved in inflammatory response,BP,1
GO:0002352,1,0.977452978,0,2,B cell negative selection,BP,1
GO:0002353,1,0.97745723,0,2,plasma kallikrein-kinin cascade,BP,1
GO:0002357,1,0.988662931,0,1,defense response to tumor cell,BP,1
GO:0002358,1,0.98866253,0,1,B cell homeostatic proliferation,BP,1
GO:0002360,1,0.895875699,0,11,T cell lineage commitment,BP,1
GO:0002361,1,0.955411026,0,4,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",BP,1
GO:0002363,1,0.940670008,0,6,alpha-beta T cell lineage commitment,BP,1
GO:0002368,1,0.988663345,0,1,B cell cytokine production,BP,1
GO:0002369,1,0.738882394,0,27,T cell cytokine production,BP,1
GO:0002370,1,0.966408393,0,3,natural killer cell cytokine production,BP,1
GO:0002371,1,0.880154625,0,12,dendritic cell cytokine production,BP,1
GO:0002372,1,0.950419786,0,5,myeloid dendritic cell cytokine production,BP,1
GO:0002373,1,0.988662586,0,1,plasmacytoid dendritic cell cytokine production,BP,1
GO:0002374,1,0.864654372,0,13,cytokine secretion involved in immune response,BP,1
GO:0002378,1,0.969196051,0,3,immunoglobulin biosynthetic process,BP,1
GO:0002379,1,0.988662749,0,1,immunoglobulin biosynthetic process involved in immune response,BP,1
GO:0002380,1,0.977453375,0,2,immunoglobulin secretion involved in immune response,BP,1
GO:0002383,1,0.988662749,0,1,immune response in brain or nervous system,BP,1
GO:0002385,1,0.905870926,0,9,mucosal immune response,BP,1
GO:0002386,1,0.977453576,0,2,immune response in mucosal-associated lymphoid tissue,BP,1
GO:0002396,1,0.933861717,0,6,MHC protein complex assembly,BP,1
GO:0002397,1,0.966369884,0,3,MHC class I protein complex assembly,BP,1
GO:0002398,1,0.988662909,0,1,MHC class Ib protein complex assembly,BP,1
GO:0002399,1,0.966369581,0,3,MHC class II protein complex assembly,BP,1
GO:0002407,1,0.887102037,0,11,dendritic cell chemotaxis,BP,1
GO:0002408,1,0.966369592,0,3,myeloid dendritic cell chemotaxis,BP,1
GO:0002413,1,0.988662931,0,1,tolerance induction to tumor cell,BP,1
GO:0002414,1,0.977453576,0,2,immunoglobulin transcytosis in epithelial cells,BP,1
GO:0002415,1,0.977453576,0,2,immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor,BP,1
GO:0002418,1,0.894100307,0,10,immune response to tumor cell,BP,1
GO:0002420,1,0.977919638,0,2,natural killer cell mediated cytotoxicity directed against tumor cell target,BP,1
GO:0002423,1,0.977919638,0,2,natural killer cell mediated immune response to tumor cell,BP,1
GO:0002424,1,0.956917196,0,4,T cell mediated immune response to tumor cell,BP,1
GO:0002426,1,0.977452822,0,2,immunoglobulin production in mucosal tissue,BP,1
GO:0002428,1,0.842744915,0,15,antigen processing and presentation of peptide antigen via MHC class Ib,BP,1
GO:0002429,1,0.284970016,0,112,immune response-activating cell surface receptor signaling pathway,BP,1
GO:0002430,1,0.955689831,0,4,complement receptor mediated signaling pathway,BP,1
GO:0002431,1,0.84548254,0,15,Fc receptor mediated stimulatory signaling pathway,BP,1
GO:0002432,1,0.97855241,0,2,granuloma formation,BP,1
GO:0002433,1,0.894676868,0,10,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,BP,1
GO:0002434,1,0.977453322,0,2,immune complex clearance,BP,1
GO:0002437,1,0.653730965,0,39,inflammatory response to antigenic stimulus,BP,1
GO:0002438,1,0.828129769,0,17,acute inflammatory response to antigenic stimulus,BP,1
GO:0002439,1,0.955410773,0,4,chronic inflammatory response to antigenic stimulus,BP,1
GO:0002441,1,0.944992325,0,5,histamine secretion involved in inflammatory response,BP,1
GO:0002442,1,0.968877674,0,3,serotonin secretion involved in inflammatory response,BP,1
GO:0002444,1,0.524628557,0,58,myeloid leukocyte mediated immunity,BP,1
GO:0002445,1,0.936107077,0,6,type II hypersensitivity,BP,1
GO:0002446,1,0.808489785,0,19,neutrophil mediated immunity,BP,1
GO:0002447,1,0.966369421,0,3,eosinophil mediated immunity,BP,1
GO:0002448,1,0.72370177,0,29,mast cell mediated immunity,BP,1
GO:0002455,1,0.674050319,0,35,humoral immune response mediated by circulating immunoglobulin,BP,1
GO:0002456,1,0.417074007,0,78,T cell mediated immunity,BP,1
GO:0002457,1,0.944674013,0,5,T cell antigen processing and presentation,BP,1
GO:0002461,1,0.977453353,0,2,tolerance induction dependent upon immune response,BP,1
GO:0002462,1,0.988662909,0,1,tolerance induction to nonself antigen,BP,1
GO:0002465,1,0.988662931,0,1,peripheral tolerance induction,BP,1
GO:0002467,1,0.874827866,0,12,germinal center formation,BP,1
GO:0002468,1,0.894388281,0,10,dendritic cell antigen processing and presentation,BP,1
GO:0002470,1,0.988662642,0,1,plasmacytoid dendritic cell antigen processing and presentation,BP,1
GO:0002472,1,0.989366886,0,1,macrophage antigen processing and presentation,BP,1
GO:0002474,1,0.706048098,0,31,antigen processing and presentation of peptide antigen via MHC class I,BP,1
GO:0002475,1,0.816620643,0,18,antigen processing and presentation via MHC class Ib,BP,1
GO:0002476,1,0.852421485,0,14,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,BP,1
GO:0002477,1,0.944619665,0,5,antigen processing and presentation of exogenous peptide antigen via MHC class Ib,BP,1
GO:0002478,1,0.77081474,0,23,antigen processing and presentation of exogenous peptide antigen,BP,1
GO:0002479,1,0.977492133,0,2,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",BP,1
GO:0002481,1,0.966376419,0,3,"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent",BP,1
GO:0002483,1,0.780920451,0,22,antigen processing and presentation of endogenous peptide antigen,BP,1
GO:0002484,1,0.842745245,0,15,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,BP,1
GO:0002485,1,0.977460386,0,2,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",BP,1
GO:0002486,1,0.852415345,0,14,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",BP,1
GO:0002488,1,0.977499392,0,2,antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway,BP,1
GO:0002489,1,0.977499392,0,2,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",BP,1
GO:0002495,1,0.842744159,0,15,antigen processing and presentation of peptide antigen via MHC class II,BP,1
GO:0002501,1,0.944575311,0,5,peptide antigen assembly with MHC protein complex,BP,1
GO:0002502,1,0.977453372,0,2,peptide antigen assembly with MHC class I protein complex,BP,1
GO:0002503,1,0.966369581,0,3,peptide antigen assembly with MHC class II protein complex,BP,1
GO:0002504,1,0.805116746,0,19,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,BP,1
GO:0002507,1,0.8359957,0,16,tolerance induction,BP,1
GO:0002513,1,0.9667917,0,3,tolerance induction to self antigen,BP,1
GO:0002514,1,0.988662931,0,1,B cell tolerance induction,BP,1
GO:0002517,1,0.923677322,0,7,T cell tolerance induction,BP,1
GO:0002518,1,0.988662786,0,1,lymphocyte chemotaxis across high endothelial venule,BP,1
GO:0002519,1,0.97749232,0,2,natural killer cell tolerance induction,BP,1
GO:0002523,1,0.864999781,0,13,leukocyte migration involved in inflammatory response,BP,1
GO:0002524,1,0.905664867,0,9,hypersensitivity,BP,1
GO:0002525,1,0.988662907,0,1,acute inflammatory response to non-antigenic stimulus,BP,1
GO:0002528,1,0.988679762,0,1,regulation of vascular permeability involved in acute inflammatory response,BP,1
GO:0002536,1,0.944617135,0,5,respiratory burst involved in inflammatory response,BP,1
GO:0002537,1,0.977834014,0,2,nitric oxide production involved in inflammatory response,BP,1
GO:0002538,1,0.966548575,0,3,arachidonic acid metabolite production involved in inflammatory response,BP,1
GO:0002539,1,0.98866293,0,1,prostaglandin production involved in inflammatory response,BP,1
GO:0002540,1,0.977634075,0,2,leukotriene production involved in inflammatory response,BP,1
GO:0002541,1,0.988662931,0,1,activation of plasma proteins involved in acute inflammatory response,BP,1
GO:0002542,1,0.988662931,0,1,Factor XII activation,BP,1
GO:0002543,1,0.991229526,0,1,activation of blood coagulation via clotting cascade,BP,1
GO:0002544,1,0.853663244,0,14,chronic inflammatory response,BP,1
GO:0002552,1,0.988662931,0,1,serotonin secretion by mast cell,BP,1
GO:0002553,1,0.944992325,0,5,histamine secretion by mast cell,BP,1
GO:0002554,1,0.979989671,0,2,serotonin secretion by platelet,BP,1
GO:0002560,1,0.988662913,0,1,basophil mediated immunity,BP,1
GO:0002561,1,0.988662913,0,1,basophil degranulation,BP,1
GO:0002566,1,0.896198755,0,10,somatic diversification of immune receptors via somatic mutation,BP,1
GO:0002568,1,0.974376751,0,3,somatic diversification of T cell receptor genes,BP,1
GO:0002572,1,0.988975156,0,1,pro-T cell differentiation,BP,1
GO:0002576,1,0.937199801,0,6,platelet degranulation,BP,1
GO:0002577,1,0.844779957,0,15,regulation of antigen processing and presentation,BP,1
GO:0002578,1,0.934526865,0,6,negative regulation of antigen processing and presentation,BP,1
GO:0002579,1,0.914388774,0,8,positive regulation of antigen processing and presentation,BP,1
GO:0002580,1,0.966369222,0,3,regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,BP,1
GO:0002581,1,0.977453077,0,2,negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,BP,1
GO:0002582,1,0.98866253,0,1,positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,BP,1
GO:0002583,1,0.944581714,0,5,regulation of antigen processing and presentation of peptide antigen,BP,1
GO:0002584,1,0.966369565,0,3,negative regulation of antigen processing and presentation of peptide antigen,BP,1
GO:0002585,1,0.977460012,0,2,positive regulation of antigen processing and presentation of peptide antigen,BP,1
GO:0002586,1,0.97745268,0,2,regulation of antigen processing and presentation of peptide antigen via MHC class II,BP,1
GO:0002587,1,0.988662629,0,1,negative regulation of antigen processing and presentation of peptide antigen via MHC class II,BP,1
GO:0002588,1,0.98866253,0,1,positive regulation of antigen processing and presentation of peptide antigen via MHC class II,BP,1
GO:0002589,1,0.966376815,0,3,regulation of antigen processing and presentation of peptide antigen via MHC class I,BP,1
GO:0002590,1,0.977453326,0,2,negative regulation of antigen processing and presentation of peptide antigen via MHC class I,BP,1
GO:0002591,1,0.988670045,0,1,positive regulation of antigen processing and presentation of peptide antigen via MHC class I,BP,1
GO:0002604,1,0.915033963,0,8,regulation of dendritic cell antigen processing and presentation,BP,1
GO:0002605,1,0.967058014,0,3,negative regulation of dendritic cell antigen processing and presentation,BP,1
GO:0002606,1,0.946217817,0,5,positive regulation of dendritic cell antigen processing and presentation,BP,1
GO:0002616,1,0.989366886,0,1,regulation of macrophage antigen processing and presentation,BP,1
GO:0002617,1,0.989366886,0,1,negative regulation of macrophage antigen processing and presentation,BP,1
GO:0002625,1,0.977453267,0,2,regulation of T cell antigen processing and presentation,BP,1
GO:0002626,1,0.988662883,0,1,negative regulation of T cell antigen processing and presentation,BP,1
GO:0002634,1,0.934055321,0,6,regulation of germinal center formation,BP,1
GO:0002636,1,0.955410839,0,4,positive regulation of germinal center formation,BP,1
GO:0002638,1,0.910746853,0,9,negative regulation of immunoglobulin production,BP,1
GO:0002643,1,0.882588736,0,11,regulation of tolerance induction,BP,1
GO:0002644,1,0.988662709,0,1,negative regulation of tolerance induction,BP,1
GO:0002645,1,0.934404811,0,6,positive regulation of tolerance induction,BP,1
GO:0002649,1,0.988662931,0,1,regulation of tolerance induction to self antigen,BP,1
GO:0002651,1,0.988662931,0,1,positive regulation of tolerance induction to self antigen,BP,1
GO:0002652,1,0.977453353,0,2,regulation of tolerance induction dependent upon immune response,BP,1
GO:0002654,1,0.977453353,0,2,positive regulation of tolerance induction dependent upon immune response,BP,1
GO:0002655,1,0.988662909,0,1,regulation of tolerance induction to nonself antigen,BP,1
GO:0002657,1,0.988662909,0,1,positive regulation of tolerance induction to nonself antigen,BP,1
GO:0002658,1,0.988662931,0,1,regulation of peripheral tolerance induction,BP,1
GO:0002660,1,0.988662931,0,1,positive regulation of peripheral tolerance induction,BP,1
GO:0002661,1,0.988662931,0,1,regulation of B cell tolerance induction,BP,1
GO:0002663,1,0.988662931,0,1,positive regulation of B cell tolerance induction,BP,1
GO:0002664,1,0.934275011,0,6,regulation of T cell tolerance induction,BP,1
GO:0002665,1,0.988662709,0,1,negative regulation of T cell tolerance induction,BP,1
GO:0002666,1,0.966797337,0,3,positive regulation of T cell tolerance induction,BP,1
GO:0002667,1,0.944993286,0,5,regulation of T cell anergy,BP,1
GO:0002668,1,0.988662709,0,1,negative regulation of T cell anergy,BP,1
GO:0002669,1,0.977885666,0,2,positive regulation of T cell anergy,BP,1
GO:0002674,1,0.919141915,0,8,negative regulation of acute inflammatory response,BP,1
GO:0002679,1,0.912889191,0,8,respiratory burst involved in defense response,BP,1
GO:0002681,1,0.974376751,0,3,somatic recombination of T cell receptor gene segments,BP,1
GO:0002691,1,0.799428244,0,20,regulation of cellular extravasation,BP,1
GO:0002692,1,0.957887063,0,4,negative regulation of cellular extravasation,BP,1
GO:0002693,1,0.844210385,0,15,positive regulation of cellular extravasation,BP,1
GO:0002698,1,0.353927396,0,93,negative regulation of immune effector process,BP,1
GO:0002701,1,0.760591614,0,25,negative regulation of production of molecular mediator of immune response,BP,1
GO:0002704,1,0.651743076,0,38,negative regulation of leukocyte mediated immunity,BP,1
GO:0002707,1,0.705418404,0,31,negative regulation of lymphocyte mediated immunity,BP,1
GO:0002709,1,0.52195344,0,58,regulation of T cell mediated immunity,BP,1
GO:0002710,1,0.866015971,0,13,negative regulation of T cell mediated immunity,BP,1
GO:0002711,1,0.62326046,0,42,positive regulation of T cell mediated immunity,BP,1
GO:0002713,1,0.913186861,0,8,negative regulation of B cell mediated immunity,BP,1
GO:0002715,1,0.778987071,0,22,regulation of natural killer cell mediated immunity,BP,1
GO:0002716,1,0.872557497,0,12,negative regulation of natural killer cell mediated immunity,BP,1
GO:0002717,1,0.872758936,0,12,positive regulation of natural killer cell mediated immunity,BP,1
GO:0002719,1,0.826112579,0,17,negative regulation of cytokine production involved in immune response,BP,1
GO:0002724,1,0.77320568,0,23,regulation of T cell cytokine production,BP,1
GO:0002725,1,0.935193024,0,6,negative regulation of T cell cytokine production,BP,1
GO:0002726,1,0.835159952,0,16,positive regulation of T cell cytokine production,BP,1
GO:0002727,1,0.966408393,0,3,regulation of natural killer cell cytokine production,BP,1
GO:0002728,1,0.988662913,0,1,negative regulation of natural killer cell cytokine production,BP,1
GO:0002729,1,0.966408393,0,3,positive regulation of natural killer cell cytokine production,BP,1
GO:0002730,1,0.889474246,0,11,regulation of dendritic cell cytokine production,BP,1
GO:0002731,1,0.978270436,0,2,negative regulation of dendritic cell cytokine production,BP,1
GO:0002732,1,0.940135075,0,6,positive regulation of dendritic cell cytokine production,BP,1
GO:0002733,1,0.950419786,0,5,regulation of myeloid dendritic cell cytokine production,BP,1
GO:0002735,1,0.950419786,0,5,positive regulation of myeloid dendritic cell cytokine production,BP,1
GO:0002736,1,0.988662586,0,1,regulation of plasmacytoid dendritic cell cytokine production,BP,1
GO:0002737,1,0.988662586,0,1,negative regulation of plasmacytoid dendritic cell cytokine production,BP,1
GO:0002739,1,0.904539102,0,9,regulation of cytokine secretion involved in immune response,BP,1
GO:0002740,1,0.977452879,0,2,negative regulation of cytokine secretion involved in immune response,BP,1
GO:0002741,1,0.946674824,0,5,positive regulation of cytokine secretion involved in immune response,BP,1
GO:0002752,1,0.977476333,0,2,cell surface pattern recognition receptor signaling pathway,BP,1
GO:0002755,1,0.843800305,0,15,MyD88-dependent toll-like receptor signaling pathway,BP,1
GO:0002756,1,0.893282333,0,10,MyD88-independent toll-like receptor signaling pathway,BP,1
GO:0002759,1,0.977967729,0,2,regulation of antimicrobial humoral response,BP,1
GO:0002760,1,0.98918315,0,1,positive regulation of antimicrobial humoral response,BP,1
GO:0002762,1,0.714102642,0,31,negative regulation of myeloid leukocyte differentiation,BP,1
GO:0002765,1,0.989094412,0,1,immune response-inhibiting signal transduction,BP,1
GO:0002767,1,0.989094412,0,1,immune response-inhibiting cell surface receptor signaling pathway,BP,1
GO:0002768,1,0.263146888,0,119,immune response-regulating cell surface receptor signaling pathway,BP,1
GO:0002774,1,0.989094412,0,1,Fc receptor mediated inhibitory signaling pathway,BP,1
GO:0002775,1,0.98918315,0,1,antimicrobial peptide production,BP,1
GO:0002777,1,0.98918315,0,1,antimicrobial peptide biosynthetic process,BP,1
GO:0002778,1,0.98918315,0,1,antibacterial peptide production,BP,1
GO:0002780,1,0.98918315,0,1,antibacterial peptide biosynthetic process,BP,1
GO:0002784,1,0.98918315,0,1,regulation of antimicrobial peptide production,BP,1
GO:0002786,1,0.98918315,0,1,regulation of antibacterial peptide production,BP,1
GO:0002792,1,0.361798565,0,92,negative regulation of peptide secretion,BP,1
GO:0002803,1,0.98918315,0,1,positive regulation of antibacterial peptide production,BP,1
GO:0002805,1,0.98918315,0,1,regulation of antimicrobial peptide biosynthetic process,BP,1
GO:0002807,1,0.98918315,0,1,positive regulation of antimicrobial peptide biosynthetic process,BP,1
GO:0002808,1,0.98918315,0,1,regulation of antibacterial peptide biosynthetic process,BP,1
GO:0002815,1,0.98918315,0,1,biosynthetic process of antibacterial peptides active against Gram-positive bacteria,BP,1
GO:0002816,1,0.98918315,0,1,regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,BP,1
GO:0002820,1,0.731337109,0,28,negative regulation of adaptive immune response,BP,1
GO:0002825,1,0.844555595,0,15,regulation of T-helper 1 type immune response,BP,1
GO:0002826,1,0.967186156,0,3,negative regulation of T-helper 1 type immune response,BP,1
GO:0002827,1,0.873240547,0,12,positive regulation of T-helper 1 type immune response,BP,1
GO:0002828,1,0.79835985,0,20,regulation of type 2 immune response,BP,1
GO:0002829,1,0.914506231,0,8,negative regulation of type 2 immune response,BP,1
GO:0002830,1,0.883102006,0,11,positive regulation of type 2 immune response,BP,1
GO:0002832,1,0.716557367,0,30,negative regulation of response to biotic stimulus,BP,1
GO:0002834,1,0.914670978,0,8,regulation of response to tumor cell,BP,1
GO:0002835,1,0.989134498,0,1,negative regulation of response to tumor cell,BP,1
GO:0002836,1,0.935334174,0,6,positive regulation of response to tumor cell,BP,1
GO:0002837,1,0.914670978,0,8,regulation of immune response to tumor cell,BP,1
GO:0002838,1,0.989134498,0,1,negative regulation of immune response to tumor cell,BP,1
GO:0002839,1,0.935334174,0,6,positive regulation of immune response to tumor cell,BP,1
GO:0002840,1,0.956917196,0,4,regulation of T cell mediated immune response to tumor cell,BP,1
GO:0002842,1,0.967892853,0,3,positive regulation of T cell mediated immune response to tumor cell,BP,1
GO:0002843,1,0.988662931,0,1,regulation of tolerance induction to tumor cell,BP,1
GO:0002845,1,0.988662931,0,1,positive regulation of tolerance induction to tumor cell,BP,1
GO:0002855,1,0.977919638,0,2,regulation of natural killer cell mediated immune response to tumor cell,BP,1
GO:0002856,1,0.989134498,0,1,negative regulation of natural killer cell mediated immune response to tumor cell,BP,1
GO:0002857,1,0.988662931,0,1,positive regulation of natural killer cell mediated immune response to tumor cell,BP,1
GO:0002858,1,0.977919638,0,2,regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,BP,1
