,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
05120 Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120],3.294361391,3.290113411,3.297837051,0.031907467,0.382348325,0.069242349,0.463541672,0.863800558,0.947780968,0.761451343,0.92274273
05132 Salmonella infection [PATH:ko05132],-1.760067437,-1.709735538,-1.86658814,-0.102237975,1.118823941,-0.073458672,0.468140447,0.534933547,0.798077725,0.773958405,0.924652109
04210 Apoptosis [PATH:ko04210],-4.55590094,-4.504425325,-4.581929801,-0.097024969,1.407856514,-0.050122809,0.472656254,0.859970294,0.943506043,0.797293407,0.924969972
00860 Porphyrin and chlorophyll metabolism [PATH:ko00860],4.802806619,4.926227993,4.687359363,-0.039379418,0.735329516,-0.052596777,0.47916667,0.626408708,0.847267733,0.776826473,0.928423779
00909 Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909],-7.607141862,-7.711068554,-7.289612042,0.069039674,2.822631248,0.014289502,0.494791667,0.655889466,0.848438725,0.798769503,0.929069969
05143 African trypanosomiasis [PATH:ko05143],-4.740087716,-4.650860752,-4.850293551,-0.021505675,1.173478272,-0.022270706,0.491547465,0.813360046,0.922295407,0.81437024,0.932583908
05146 Amoebiasis [PATH:ko05146],-2.875253129,-2.862729874,-3.028878954,-0.174451714,1.246264885,-0.089876735,0.460937506,0.506308247,0.782716665,0.800020927,0.933426977
00791 Atrazine degradation [PATH:ko00791],-0.68884606,-0.973091009,-0.556902446,0.193164583,1.561375241,0.126270148,0.464239277,0.842170622,0.938385342,0.801149872,0.937994589
00940 Phenylpropanoid biosynthesis [PATH:ko00940],4.547094867,4.552765014,4.523689295,0.036688336,0.504633487,0.062462161,0.462239589,0.616258223,0.842472193,0.817729121,0.941584051
02030 Bacterial chemotaxis [PATH:ko02030],5.480227301,5.473911183,5.528768273,0.036000904,0.566420282,0.056701238,0.467447921,0.656602988,0.860469067,0.822695452,0.94261402
00140 Steroid hormone biosynthesis [PATH:ko00140],-1.995292804,-1.97815693,-2.036209675,0.05273958,1.035832706,0.056559984,0.474642396,0.815338879,0.925464639,0.836744458,0.945227284
00052 Galactose metabolism [PATH:ko00052],5.6107205,5.604925597,5.617924698,0.016424578,0.327381636,0.05025553,0.475942786,0.696925025,0.877313963,0.834052294,0.946641779
00983 Drug metabolism - other enzymes [PATH:ko00983],0.823871217,0.846635598,0.795233127,-0.017541692,0.678398787,-0.028898458,0.485677085,0.942043655,0.976494044,0.845888624,0.950391257
00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311],-3.00441362,-2.979685257,-3.026820777,-0.040790751,1.06189219,-0.030252237,0.481770836,0.706195416,0.878831941,0.855265556,0.950573422
00625 Chloroalkane and chloroalkene degradation [PATH:ko00625],-5.271640944,-5.272022741,-5.269542397,-0.027042795,1.870840153,-0.012564871,0.495448635,0.682003038,0.866574462,0.854671095,0.951782741
00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],5.830248216,5.831869057,5.787487638,0.013929734,0.249960542,0.065795609,0.471354171,0.894530656,0.958289317,0.854240461,0.952272521
00120 Primary bile acid biosynthesis [PATH:ko00120],0.601925767,0.608747009,0.596045122,-0.019287538,0.520411569,-0.028625887,0.487646296,0.922951368,0.968332345,0.847917717,0.952674759
04141 Protein processing in endoplasmic reticulum [PATH:ko04141],-0.155461483,-0.130817885,-0.267565453,-0.052646119,1.099376079,-0.038697739,0.477864586,0.760699225,0.90733456,0.858445927,0.953525927
00350 Tyrosine metabolism [PATH:ko00350],2.52759748,2.597391814,2.455156584,-0.028349737,0.415581921,-0.052076619,0.47526042,0.84647466,0.941417663,0.864098239,0.95540643
00627 Aminobenzoate degradation [PATH:ko00627],-1.367059565,-1.379939479,-1.352837434,-0.000919539,0.622037443,-0.001330588,0.498697917,0.931903223,0.97032748,0.886141386,0.963410147
00590 Arachidonic acid metabolism [PATH:ko00590],0.123903611,-0.023224902,0.130576896,-0.068548993,1.336013312,-0.057461361,0.478543566,0.844491092,0.940028466,0.89637628,0.965834953
05150 Staphylococcus aureus infection [PATH:ko05150],-1.38184775,-1.439112375,-1.258751146,0.038764282,1.287000668,0.019751673,0.484375002,0.906372305,0.96240983,0.895613698,0.966329372
00430 Taurine and hypotaurine metabolism [PATH:ko00430],-0.718697165,-0.731083472,-0.689547233,-0.046873969,1.361286482,-0.031700905,0.478543566,0.697762665,0.878193112,0.903507716,0.967861341
05203 Viral carcinogenesis [PATH:ko05203],2.244133241,2.244929786,2.238058167,0.00413489,0.367297674,0.01368434,0.492187501,0.573993829,0.816586846,0.906063718,0.969567495
00340 Histidine metabolism [PATH:ko00340],5.157383519,5.197730902,5.149211384,-0.002471102,0.226784348,-0.011352413,0.492187501,0.922883998,0.9676252,0.910741541,0.970446532
"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]",4.134899423,4.095255823,4.136888786,-0.003463179,0.423782257,-0.005784497,0.497395834,0.913275682,0.963222265,0.905367481,0.970465167
00310 Lysine degradation [PATH:ko00310],0.702754795,0.805146888,0.702754795,-0.025151071,0.76688063,-0.034275962,0.489583335,0.695390399,0.877436474,0.93154396,0.97664046
00281 Geraniol degradation [PATH:ko00281],0.055303804,0.055303804,0.005592698,-0.00195626,1.030970771,-0.002372617,0.5,0.948064731,0.977415675,0.937731397,0.979757445
00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],2.267444686,2.26665258,2.287270279,-0.0145613,0.75091237,-0.018517489,0.494148245,0.814401873,0.927216641,0.954606759,0.984643281
