PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID,P_value,qvalues,abs(fold_change),fold_change,getVipVn.serum_mixture.oplsda.
3948,gulonate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,46957,LC/MS Polar,100001586,2750,195.05102,20246-53-1,152304,7969943,C00257,HMDB03290,0.033445841,0.143758129,0.758472791,-2.636877714,1.441442431
288,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",60,LC/MS Pos Early,397,2864,132.10191,61-90-5,6106,5880,C00123,HMDB00687,0.036801468,0.148340306,1.064993703,1.064993703,1.429625143
1495,heptenedioate (C7:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",61866,LC/MS Polar,100019981,2816,157.05063,NA,NA,NA,NA,NA,0.039239148,0.151110819,0.608637592,-3.286027723,1.428672147
4091,4-ethylphenol glucuronide,Xenobiotics,Benzoate Metabolism,52937,LC/MS Neg,100009049,3167,297.09797,NA,NA,NA,NA,NA,0.040059849,0.152901789,0.692789515,-2.88687972,1.428095367
1521,octadecadienedioate (C18:2-DC)*,Lipid,"Fatty Acid, Dicarboxylate",61860,LC/MS Neg,100019982,4676,309.20714,NA,NA,NA,NA,NA,0.048609713,0.1720363,0.717360531,-2.787998383,1.427455377
75,imidazole propionate,Amino Acid,Histidine Metabolism,40730,LC/MS Pos Early,100003434,2263,141.06586,1074-59-5,70630,63798,NA,HMDB02271,0.037310163,0.148340306,0.677780982,-2.950805724,1.425113715
357,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.09283,NA,NA,NA,NA,NA,0.047554959,0.170591522,1.372709964,1.372709964,1.42462121
1993,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2147,706.53813,69525-80-0,129657,114798,NA,HMDB07869,0.037164732,0.148340306,0.778527744,-2.56895148,1.420623759
762,isoleucylglycine,Peptide,Dipeptide,40008,LC/MS Neg,100003169,1992,187.10881,868-28-0,342532,303621,NA,HMDB28907,0.053110421,0.174553437,1.339747052,1.339747052,1.408788384
1125,arabitol/xylitol,Carbohydrate,Pentose Metabolism,48885,LC/MS Polar,100006430,1932.4,151.0612,NA,6912,NA,C01904,NA,0.044518236,0.16593624,0.836610559,-2.390598563,1.408771294
1739,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22001,LC/MS Neg,100000773,3446,159.10266,88930-08-9,26613,24791,NA,HMDB01954,0.050822967,0.172079481,0.782280558,-2.556627517,1.407825267
408,succinoyltaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",63678,LC/MS Polar,100021220,2572,224.02343,NA,NA,20509456,NA,NA,0.047354435,0.170591522,0.698079113,-2.865004784,1.400447696
3117,taurolithocholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism,36850,LC/MS Neg,100001658,5027,280.62205,64936-83-0,440071,389078,C03642,HMDB02580,0.035818432,0.14732005,0.573095156,-3.489821851,1.400349303
274,indole-3-carboxylate,Amino Acid,Tryptophan Metabolism,38116,LC/MS Neg,100002185,1710,160.0404,771-50-6,69867,NA,C19837,HMDB03320,0.051576498,0.172079481,0.59964647,-3.335298545,1.393053849
1032,phenylacetylcarnitine,Peptide,Acetylated Peptides,48425,LC/MS Pos Early,100006108,3092,280.15434,287108-21-8,101724840,NA,NA,NA,0.040794711,0.153254563,0.578351693,-3.458103476,1.381342267
71,N-acetyl-1-methylhistidine*,Amino Acid,Histidine Metabolism,43255,LC/MS Pos Early,100004299,2100,212.1028,NA,193270,NA,NA,NA,0.051569432,0.172079481,1.219105109,1.219105109,1.379822585
185,3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,12017,LC/MS Pos Early,1342,2555,212.09174,300-48-1,1670,8948,NA,HMDB01434,0.045391734,0.166589143,0.884162083,-2.262028691,1.377028363
3929,pantothenate,Cofactors and Vitamins,Pantothenate and CoA Metabolism,1508,LC/MS Pos Early,1024,1667,220.11795,137-08-6,6613,6361,C00864,HMDB00210,0.057818012,0.180626926,1.154121189,1.154121189,1.370740956
1743,3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",31943,LC/MS Neg,100001145,1282,217.10814,73141-46-5,3017884,2285525,NA,HMDB00350,0.048765503,0.1720363,0.655622435,-3.050536244,1.367637152
3146,12-dehydrocholate,Lipid,Secondary Bile Acid Metabolism,44644,LC/MS Neg,100001072,4871,405.26464,2458-08-4;2458-08-4,94235,85044,NA,HMDB00400,0.04964888,0.1720363,2.943770455,2.943770455,1.367243257
1068,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.06119,154-58-5,64960,NA,C07326,HMDB02712,0.050853286,0.172079481,0.859354443,-2.327328398,1.366423673
3779,N6-succinyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",48130,LC/MS Neg,100001664,940,382.10043,4542-23-8,165243,NA,NA,HMDB00912,0.033029825,0.143758129,0.669399208,-2.987753758,1.366151438
69,N-acetylhistidine,Amino Acid,Histidine Metabolism,33946,LC/MS Neg,100001293,900,196.07276,39145-52-3,75619,68142,C02997,HMDB32055,0.055832201,0.178399266,1.172813787,1.172813787,1.366072814
2085,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2011,832.58509,NA,NA,24766785,NA,HMDB08123,0.046698348,0.17007618,1.296085283,1.296085283,1.365384773
1327,caprylate (8:0),Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4362,143.10775,124-07-2,379,370,C06423,HMDB00482,0.050917727,0.172079481,0.868936082,-2.301665269,1.364009864
2633,linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*,Lipid,Diacylglycerol,54950,LC/MS Pos Late,100010929,2500,682.54051,NA,NA,NA,NA,HMDB07266,0.049673871,0.1720363,1.426706124,1.426706124,1.362546511
1490,3-methyladipate,Lipid,"Fatty Acid, Dicarboxylate",36749,LC/MS Polar,100001765,2865,159.06628,422955,12292,11789,NA,HMDB00555,0.05385499,0.174553437,0.688184485,-2.906197457,1.357976101
4543,4-allylphenol sulfate,Xenobiotics,Food Component/Plant,37181,LC/MS Neg,100001868,3805,213.0227,NA,NA,NA,NA,NA,0.056088141,0.178399266,1.367693086,1.367693086,1.354147037
1088,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",527,LC/MS Polar,482,1468.8,89.02442,79-33-4,612,592,C00186,HMDB00190,0.053710931,0.174553437,1.118586974,1.118586974,1.343405192
44,alpha-ketoglutaramate*,Amino Acid,Glutamate Metabolism,62101,LC/MS Polar,100002397,1916,144.03023,18465-19-5,NA,NA,NA,NA,0.049760634,0.1720363,0.780643019,-2.561990503,1.340329188
392,S-methylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",39592,LC/MS Neg,100002749,880,134.02812,1187-84-4,24417,22826,NA,HMDB02108,0.054147305,0.174553437,1.278316179,1.278316179,1.332682091
1888,12-HHTrE,Lipid,Eicosanoid,57393,LC/MS Neg,1261,5175,279.19657,54397-84-1,5283141,4446265,C20388,HMDB12535,0.057097969,0.180408497,1.416309275,1.416309275,1.329789108
2968,corticosterone,Lipid,Corticosteroids,5983,LC/MS Neg,272,5040,345.20713,50-22-6,5753,5550,C02140,HMDB01547,0.062312314,0.187684256,0.61745534,-3.239100661,1.321836159
1131,arabonate/xylonate,Carbohydrate,Pentose Metabolism,48255,LC/MS Polar,100006115,2700,165.04046,NA,NA,NA,NA,NA,0.057924281,0.180626926,0.868727122,-2.3022189,1.321436089
1661,oleoylcarnitine (C18:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",35160,LC/MS Pos Late,100001501,1423,426.35779,38677-66-6,6441392,21403150,NA,HMDB05065,0.05858063,0.181487446,0.685354355,-2.918198428,1.312482847
492,cysteine-glutathione disulfide,Amino Acid,Glutathione Metabolism,35159,LC/MS Pos Early,100001437,2465,427.09519,13081-14-6,4247235,3455404,NA,HMDB00656,0.066648221,0.192535889,1.360408727,1.360408727,1.309816125
1195,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",584,LC/MS Polar,803,2200,179.05611,3458-28-4,18950,141983,C00159,HMDB00169,0.063793045,0.188164781,0.765194958,-2.613712986,1.305617736
3754,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.07743,5142-22-3,78821,71157,C02216,HMDB11599,0.065836921,0.191530939,0.682553826,-2.930171838,1.304735812
4105,3-methoxycatechol sulfate (2),Xenobiotics,Benzoate Metabolism,48752,LC/MS Neg,100006376,2200,218.99688,NA,NA,NA,NA,NA,0.067082762,0.192535889,1.456176042,1.456176042,1.301186589
303,isovalerate (i5:0),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44656,LC/MS Neg,100000708,1564,101.0608,503-74-2,10430,10001,C08262,HMDB00718,0.060412998,0.184764727,0.676251257,-2.95748064,1.300068376
129,phenylalanine,Amino Acid,Phenylalanine Metabolism,64,LC/MS Pos Early,460,2878,166.08626,63-91-2,6140,5910,C00079,HMDB00159,0.053007893,0.174553437,0.955300153,-2.093582833,1.29556868
1733,2-hydroxybehenate,Lipid,"Fatty Acid, Monohydroxy",57663,LC/MS Neg,100015637,6384,355.32177,NA,193484,167899,NA,NA,0.070825238,0.197608309,0.800526004,-2.498357319,1.28869572
382,5-methylthioribose**,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",62100,LC/MS Pos Early,100002103,790,181.05291,23656-67-9,494,480,NA,HMDB01087,0.068122945,0.193462771,0.847923589,-2.358703103,1.28811168
2498,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,52614,LC/MS Pos Late,100008919,2950,730.57452,144371-68-6,NA,24769260,NA,HMDB11375,0.067393016,0.192535889,0.753452159,-2.654448563,1.282875754
82,histamine,Amino Acid,Histidine Metabolism,1574,LC/MS Pos Early,354,3035,112.08693,51-45-6,774,753,C00388,HMDB00870,0.063891058,0.188164781,1.333690697,1.333690697,1.281287235
2147,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),42448,LC/MS Pos Late,100001856,2858,746.56944,NA,NA,NA,NA,HMDB08993,0.06537954,0.191367211,0.752737107,-2.656970118,1.277775857
371,N-acetylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1589,LC/MS Neg,1083,1787,190.05434,65-82-7,448580,395338,C02712,HMDB11745,0.062941133,0.187684256,0.895950579,-2.232265982,1.270664082
39,asparagine,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Pos Early,917,1225,133.06077,70-47-3,6267,6031,C00152,HMDB00168,0.070707837,0.197608309,1.085880688,1.085880688,1.268782609
1697,deoxycarnitine,Lipid,Carnitine Metabolism,36747,LC/MS Pos Early,100001662,2052,146.11756,6249-56-5,134,705,C01181,HMDB01161,0.073735869,0.201674488,0.869315345,-2.300661104,1.264656062
3142,taurohyodeoxycholic acid,Lipid,Secondary Bile Acid Metabolism,43588,LC/MS Neg,100003869,5073,498.28948,38411-85-7,119046,106373,NA,NA,0.090539539,0.221415614,0.408603215,-4.894724092,1.263909434
395,cysteine s-sulfate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",22176,LC/MS Pos Early,100000808,565,201.98384,1637-71-4,115015,102939,C05824,HMDB00731,0.074396132,0.201674488,0.531139543,-3.765488802,1.261354602
1696,3-hydroxyoleoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61840,LC/MS Pos Late,100019801,1406,442.3527,NA,NA,48061587,NA,NA,0.077650497,0.204819945,0.608499917,-3.286771197,1.259574646
2251,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),52467,LC/MS Polar,100008993,892,857.51855,NA,NA,24767674,NA,HMDB09789,0.071959527,0.199605787,0.818727468,-2.442815318,1.258435318
1660,palmitoleoylcarnitine (C16:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",53223,LC/MS Pos Late,100009406,1357,398.32649,NA,71464547,28639183,NA,NA,0.076260554,0.204405804,0.693027398,-2.88588879,1.254015339
1972,glycerophosphoethanolamine,Lipid,Phospholipid Metabolism,37455,LC/MS Polar,100001620,3075,214.04859,33049-08-0,123874,110410,C01233,HMDB00114,0.06902244,0.194857387,0.845208821,-2.366279136,1.250556651
2685,sphingadienine,Lipid,Sphingolipid Synthesis,57426,LC/MS Pos Late,100015643,1350,298.27406,25696-03-1,6449795,4952479,NA,NA,0.062842231,0.187684256,1.293814433,1.293814433,1.243735032
4015,retinol (Vitamin A),Cofactors and Vitamins,Vitamin A Metabolism,1806,LC/MS Pos Late,498,1636,269.22639,68-26-8,445354,393012,C00473,HMDB00305,0.059503176,0.183156241,0.879646577,-2.273640406,1.242647078
1695,3-hydroxypalmitoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61839,LC/MS Pos Late,100019800,1380,416.33705,NA,NA,NA,NA,NA,0.077796996,0.204819945,0.596118865,-3.355035574,1.24061525
2728,"ceramide (d18:2/24:1, d18:1/24:2)*",Lipid,Ceramides,57443,LC/MS Pos Late,100015744,3858,646.6133,NA,NA,NA,NA,NA,0.080965116,0.209939128,0.784066862,-2.550802867,1.239779223
501,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,52281,LC/MS Polar,100008928,1258,103.04006,NA,NA,NA,NA,NA,0.092231152,0.221415614,0.753249969,-2.655161078,1.235824741
4288,gluconate,Xenobiotics,Food Component/Plant,587,LC/MS Polar,338,2922,195.05102,527-07-1,10690,10240,C00257,HMDB00625,0.076111541,0.204405804,0.783636248,-2.552204552,1.235734447
3143,glycohyodeoxycholate,Lipid,Secondary Bile Acid Metabolism,43501,LC/MS Neg,100003868,5070,448.30684,13042-33-6,114611,102648,NA,NA,0.089056124,0.221415614,0.715437951,-2.795490506,1.234304737
4421,jasmonic acid,Xenobiotics,Food Component/Plant,35659,LC/MS Neg,100001643,3530,209.11831,77026-92-7,5281166,4444606,C08491,HMDB32797,0.061475635,0.186817108,0.595069319,-3.360952981,1.230090037
336,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1800,131.07136,488-15-3,164623,144317,NA,HMDB00317,0.084779373,0.216881727,1.234214139,1.234214139,1.227366059
1134,sedoheptulose,Carbohydrate,Pentose Metabolism,53237,LC/MS Polar,100002619,2255,209.06667,3019-74-7,5459879,4573620,NA,HMDB03219,0.086856634,0.218103516,0.737909172,-2.710360673,1.224999079
4334,cinnamate,Xenobiotics,Food Component/Plant,12115,LC/MS Neg,1259,2878,147.04515,140-10-3,444539,392447,C00423,HMDB00930,0.073621864,0.201674488,0.576899489,-3.46680841,1.222709532
3995,"bilirubin (Z,Z)",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,43807,LC/MS Pos Late,1090,1840,585.27076,635-65-4,5280352,4444055,C00486,HMDB00054,0.091535538,0.221415614,1.405841405,1.405841405,1.220893837
1512,tetradecanedioate (C14-DC),Lipid,"Fatty Acid, Dicarboxylate",35669,LC/MS Neg,100001613,3985,257.17583,821-38-5,13185,12630,NA,HMDB00872,0.091349733,0.221415614,0.689470242,-2.900777841,1.20885053
2293,1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,52690,LC/MS Neg,100009082,5483,433.23606,NA,NA,24766514,NA,HMDB07856,0.094080169,0.221415614,0.73109661,-2.735616569,1.20016445
2164,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),55041,LC/MS Pos Late,100009219,2200,766.53813,NA,NA,24768534,NA,HMDB09069,0.082870179,0.21371737,0.777333768,-2.57289736,1.199159282
3116,taurolithocholate,Lipid,Secondary Bile Acid Metabolism,31889,LC/MS Neg,100001065,5345,482.29456,516-90-5,10595,10150,C02592,HMDB00722,0.100619327,0.228905296,0.135324059,-14.77933797,1.198281007
1194,mannitol/sorbitol,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",46142,LC/MS Polar,100001740,2320,181.07176,NA,5780,440,C00794,HMDB00247,0.094208699,0.221415614,0.828670954,-2.4135032,1.197293036
1641,pentadecanoylcarnitine (C15)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57522,LC/MS Pos Late,100015842,1362,386.32649,NA,NA,NA,NA,NA,0.078132255,0.204819945,0.685100144,-2.919281241,1.195533332
2013,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2358,760.58509,26853-31-6;26853-31-6,6436017,4940699,NA,HMDB07972,0.08642347,0.218103516,0.885104787,-2.25961946,1.195282896
3898,nicotinate ribonucleoside,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,33471,LC/MS Pos Early,100001316,1536,256.08157,2625-49-2,161234,141635,C05841,HMDB06809,0.07971173,0.2078186,0.778893984,-2.567743544,1.195218656
2701,N-stearoyl-sphingosine (d18:1/18:0)*,Lipid,Ceramides,54979,LC/MS Pos Late,1547,3392,566.55067,104404-17-3,5283565,4446678,NA,HMDB04950,0.092558349,0.221415614,0.681444347,-2.934942537,1.193967187
4576,daidzein sulfate (2),Xenobiotics,Food Component/Plant,48728,LC/MS Neg,100006363,3330,333.00756,NA,12114465,NA,NA,NA,0.108460826,0.23200709,3.092215009,3.092215009,1.193911762
464,N-acetylputrescine,Amino Acid,Polyamine Metabolism,37496,LC/MS Pos Early,192,2230,131.11789,18233-70-0,122356,109095,C02714,HMDB02064,0.077064165,0.204819945,2.433343684,2.433343684,1.19232366
1189,fructose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",577,LC/MS Polar,878,2065,179.05611,57-48-7,5984,5764,C00095,HMDB00660,0.105574814,0.228955414,0.875257713,-2.285041274,1.191990787
28,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,LC/MS Pos Early,811,1700,90.05496,56-41-7,5950,5735,C00041,HMDB00161,0.097494616,0.225701403,1.125692563,1.125692563,1.186568524
239,kynurenine,Amino Acid,Tryptophan Metabolism,15140,LC/MS Pos Early,100000265,2739,209.09207,2922-83-0,161166,141580,C00328,HMDB00684,0.092024411,0.221415614,0.849271262,-2.354960175,1.182543497
269,indolepropionate,Amino Acid,Tryptophan Metabolism,32405,LC/MS Pos Early,100001083,3205,190.08626,830-96-6,3744,3613,NA,HMDB02302,0.101707991,0.228955414,0.821256248,-2.435293496,1.180348454
1309,malonate,Lipid,Fatty Acid Synthesis,15872,LC/MS Neg,818,612,103.00368,141-82-2;26522-22-85-0,867,844,C00383,HMDB00691,0.085829175,0.217816291,0.869794655,-2.299393297,1.178501443
2138,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),52464,LC/MS Pos Late,100008990,2198,740.52248,NA,9546800,7825750,NA,HMDB05323,0.085006336,0.216881727,0.795363441,-2.51457371,1.177734982
2289,1-palmitoyl-GPA (16:0),Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600,409.23606,17618-08-5,6419701,4925335,C04036,HMDB00327,0.093614957,0.221415614,0.717351219,-2.788034572,1.170191852
144,phenylacetate,Amino Acid,Phenylalanine Metabolism,57745,LC/MS Neg,100000011,2150,91.05535,103-82-2,999,10181341,C07086,HMDB00209,0.097924493,0.225701403,0.573483733,-3.487457247,1.169421255
4129,3-(4-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,39587,LC/MS Neg,100002914,1670,165.05571,501-97-3,10394,9965,C01744,HMDB02199,0.108938039,0.23200709,1.297181021,1.297181021,1.167736423
112,fructosyllysine,Amino Acid,Lysine Metabolism,46227,LC/MS Pos Early,100005373,2784,309.16563,21291-40-7,123708,110281,NA,NA,0.073973612,0.201674488,0.869416713,-2.300392861,1.167486105
347,methylsuccinate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15745,LC/MS Polar,2051,2800,131.03498,498-21-5,10349,9922,NA,HMDB01844,0.097250897,0.225701403,0.845231443,-2.366215806,1.166828732
1325,caproate (6:0),Lipid,Medium Chain Fatty Acid,32489,LC/MS Neg,926,2713.7,115.07645,142-62-1,8892,8552,C01585,HMDB00535,0.105332778,0.228955414,0.688821326,-2.903510571,1.166223383
1725,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22036,LC/MS Neg,100000743,3736.8,159.10266,617-73-2,94180,84994,NA,HMDB02264,0.109899679,0.23200709,0.78181852,-2.558138427,1.165942684
140,phenyllactate (PLA),Amino Acid,Phenylalanine Metabolism,22130,LC/MS Neg,100000774,2208,165.05571,828-01-3,3848,3715,C05607,HMDB00779,0.096598667,0.225701403,1.51296688,1.51296688,1.165763651
76,formiminoglutamate,Amino Acid,Histidine Metabolism,43493,LC/MS Pos Early,100002500,1880,175.07134,816-90-0,439233,388370,C00439,HMDB00854,0.09248423,0.221415614,0.693577087,-2.883601603,1.164636109
2249,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),52450,LC/MS Polar,1528,910,833.51845,NA,NA,21403024,NA,HMDB09784,0.093931056,0.221415614,0.844342864,-2.36870599,1.162735568
4031,pyridoxamine,Cofactors and Vitamins,Vitamin B6 Metabolism,2150,LC/MS Pos Early,568,2975,169.09716,58052-48-5,1052,1023,C00534,HMDB01431,0.121154107,0.247285344,0.610099505,-3.278153781,1.16003577
2776,"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Lipid,Dihydrosphingomyelins,57473,LC/MS Pos Late,100009027,2362,733.6218,NA,NA,24846878,NA,HMDB12087,0.093139134,0.221415614,0.719558126,-2.779483586,1.157663592
109,"hydroxy-N6,N6,N6-trimethyllysine*",Amino Acid,Lysine Metabolism,62959,LC/MS Pos Early,100021123,2759,205.15468,NA,NA,NA,NA,NA,0.103606757,0.228955414,0.780182267,-2.563503537,1.153109044
1515,tetradecadienedioate (C14:2-DC)*,Lipid,"Fatty Acid, Dicarboxylate",62918,LC/MS Neg,100021100,3148,253.14453,NA,NA,NA,NA,NA,0.100753899,0.228905296,0.580503641,-3.445284163,1.152064083
3088,glyco-alpha-muricholate**,Lipid,Primary Bile Acid Metabolism,62065,LC/MS Neg,100020213,4734,464.30176,NA,NA,NA,NA,NA,0.105466183,0.228955414,0.493031648,-4.056534721,1.148943342
1632,hexanoylcarnitine (C6),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",32328,LC/MS Pos Early,100000781,3358,260.18564,6920-35-0,6426853,4932273,NA,HMDB00705,0.103990947,0.228955414,0.684069504,-2.923679523,1.140267263
126,5-aminovalerate,Amino Acid,Lysine Metabolism,18319,LC/MS Pos Early,100000454,2220,118.08626,660-88-8,138,135,C00431,HMDB03355,0.11998184,0.247285344,0.738714076,-2.70740746,1.138823039
1038,phenylacetylglycine,Peptide,Acetylated Peptides,33945,LC/MS Pos Early,100001275,2317,194.08117,500-98-1,68144,61452,C05598,HMDB00821,0.109562925,0.23200709,0.68924255,-2.901736116,1.138243259
3098,deoxycholate,Lipid,Secondary Bile Acid Metabolism,1114,LC/MS Neg,302,5294,391.28538,83-44-3,222528,389318,C04483,HMDB00626,0.126819066,0.253974386,0.220716941,-9.061379662,1.137583205
261,5-hydroxyindoleacetate,Amino Acid,Tryptophan Metabolism,437,LC/MS Neg,71,1510.2,190.05096,54-16-0,1826,1760,C05635,HMDB00763,0.112611182,0.23564593,0.856624062,-2.334746464,1.137534236
4360,dihydroferulate,Xenobiotics,Food Component/Plant,40481,LC/MS Neg,100003432,1928,195.06628,1135-23-5,14340,13701,NA,NA,0.111272126,0.233869616,2.062626444,2.062626444,1.136865625
1936,chiro-inositol,Lipid,Inositol Metabolism,37112,LC/MS Polar,100001859,3191.2,225.06159,643-12-9,NA,10254647,C19891,HMDB34220,0.116581564,0.241832862,0.804067698,-2.487352749,1.136760098
1724,2-hydroxyheptanoate*,Lipid,"Fatty Acid, Monohydroxy",61827,LC/MS Polar,100019960,925,145.08701,NA,2750949,2032206,NA,NA,0.100598524,0.228905296,0.76779508,-2.604861703,1.135071691
114,2-aminoadipate,Amino Acid,Lysine Metabolism,6146,LC/MS Polar,381,3500,160.06153,542-32-5;1118-90-7,469,456,C00956,HMDB00510,0.104211702,0.228955414,0.780427007,-2.562699628,1.134362487
1970,phosphoethanolamine,Lipid,Phospholipid Metabolism,1600,LC/MS Pos Early,1026,700,142.02638,1071-23-4,1015,990,C00346,HMDB00224,0.105465926,0.228955414,1.205292872,1.205292872,1.12268249
1698,carnitine,Lipid,Carnitine Metabolism,15500,LC/MS Pos Early,100000007,1978,162.11247,461-05-2,10917,10455,C00318,HMDB00062,0.121283288,0.247285344,0.908603023,-2.201181317,1.114588377
73,trans-urocanate,Amino Acid,Histidine Metabolism,607,LC/MS Pos Early,537,2285,139.05021,104-98-3,736715,643824,C00785,HMDB00301,0.108093047,0.23200709,0.715749391,-2.79427412,1.111299029
2880,"3beta,7alpha-dihydroxy-5-cholestenoate",Lipid,Sterol,36803,LC/MS Neg,100001611,5275,431.31668,115538-84-6,3081084,2338764,C17335,NA,0.10493872,0.228955414,0.441493664,-4.530076336,1.107310724
1732,2-hydroxyarachidate*,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990,327.29047,NA,5225199,4395406,NA,NA,0.126610895,0.253974386,0.833256709,-2.400220699,1.104548661
941,valylleucine,Peptide,Dipeptide,39994,LC/MS Pos Early,100003210,3138,231.17032,22906-55-4,352039,312586,NA,HMDB29131,0.124732191,0.253235134,1.477226105,1.477226105,1.101465466
415,urea,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1670,LC/MS Pos Early,533,700,121.07201,57-13-6,1176,1143,C00086,HMDB00294,0.131788089,0.256638423,0.877050603,-2.280370133,1.1004462
243,kynurenate,Amino Acid,Tryptophan Metabolism,1417,LC/MS Neg,98,2224,188.03531,492-27-3,3845,3712,C01717,HMDB00715,0.113735065,0.236958434,0.818812937,-2.442560333,1.099102024
2135,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),42449,LC/MS Pos Late,100001870,2275,716.52248,NA,9546747,7825697,NA,HMDB05322,0.104345364,0.228955414,0.743351332,-2.690517812,1.094145379
360,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33937,LC/MS Neg,100001300,1126,117.05571,600-37-3,99823,90190,NA,HMDB00407,0.129651683,0.256638423,0.891445789,-2.243546411,1.091357794
1659,myristoleoylcarnitine (C14:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",48182,LC/MS Pos Late,100006051,1316,370.29471,889848-55-9,90659872,34999520,NA,NA,0.130152321,0.256638423,0.812896913,-2.460336565,1.089014107
249,xanthurenate,Amino Acid,Tryptophan Metabolism,15679,LC/MS Pos Early,100000015,2236,206.04479,59-007,5699,5497,C02470,HMDB00881,0.109540007,0.23200709,0.741762399,-2.696281183,1.088220568
5297,trizma acetate,Xenobiotics,Chemical,20710,LC/MS Pos Early,100000856,1884,122.08117,6850-28-8,6503,73346,C07182,NA,0.174138846,0.307712523,35.88305622,35.88305622,1.085924152
